year,year_tag,phi_t,n_rows,ils_earns_mean_nominal,ils_earns_mean_real
2015,1,1.0031,256600,2945.3302808377625,2954.4608047083602
2016,2,1.0,257700,3057.544302629298,3057.544302629298
2017,3,0.9886,229500,3127.31481574963,3091.6634268500843
