config,year,year_tag,n_rows,idorighh_null,idorighh_min,idorighh_max,idorighh_unique,idorigperson_null,idorigperson_min,idorigperson_max,idorigperson_unique,idhh_null,idhh_min,idhh_max,idhh_unique,idperson_null,idperson_min,idperson_max,idperson_unique,stacked_hh_uid_null,stacked_hh_uid_min,stacked_hh_uid_max,stacked_hh_uid_unique,stacked_person_uid_null,stacked_person_uid_min,stacked_person_uid_max,stacked_person_uid_unique
p3a,2015,1,423500,0,100,1478200,4235,0,10001,147820001,4235,0,100,1478200,4235,0,10001,147820001,4235,0,100000000100,100001478200,4235,0,100000010001,100147820001,4235
p3a,2016,2,425300,0,1483000,4350300,4253,0,148300001,435030001,4253,0,1483000,4350300,4253,0,148300001,435030001,4253,0,200001483000,200004350300,4253,0,200148300001,200435030001,4253
p3a,2017,3,395700,0,1790400,4670100,3957,0,179040001,467010002,3957,0,1790400,4670100,3957,0,179040001,467010002,3957,0,300001790400,300004670100,3957,0,300179040001,300467010002,3957
