year,year_tag,phi_t,n_rows,ils_dispy_mean_nominal,ils_dispy_mean_real,ils_earns_mean_nominal,ils_earns_mean_real,yem_mean_nominal,yem_mean_real
2015,1,1.0031,423500,7560.012679091944,7583.448718397129,2634.6597798668245,2642.8272251844114,12494.026247714299,12532.757729082214
2016,2,1.0,425300,7586.583500198864,7586.583500198864,2722.874833682436,2722.874833682436,12481.463326034756,12481.463326034756
2017,3,0.9886,395700,7578.662969727691,7492.266211872795,2767.2095868290126,2735.6633975391615,12489.853621563761,12347.469290277935
