param,certified,trial,moved
beta_occ_4_f,0.7717937415014848,-14.931957489159373,15.703751230660858
beta_occ_4_m,0.2906431544805711,-14.996517985266152,15.287161139746724
beta_E,-0.75265301737783,14.044754775631821,14.79740779300965
beta_occ_2_m,-1.5916485115155634,3.1386455427186974,4.73029405423426
beta_l0_sf,3.728508753936399,8.378833911038264,4.6503251571018644
beta_occ_2_f,-0.0475805242455427,4.31513890449015,4.3627194287356925
beta_occ_3_m,-2.294101394919219,2.0054594846862757,4.299560879605495
beta_occ_3_f,-0.4729186216832488,3.188449523284442,3.6613681449676907
beta_E_gsur,-1.306190335762088,-3.5105157398073525,2.2043254040452647
beta_l_age_sf,0.4986362103504623,-0.9514005322718568,1.450036742622319
beta_E_drgmd,-0.6675446983120384,0.7145014040152424,1.3820461023272808
beta_E_drgn4,-0.0168585564606559,-1.3296166966589587,1.3127581401983028
beta_h_pt1,-1.4332708022989755,-0.1810980178473195,1.252172784451656
beta_E_drgur,-0.530487815363722,0.6413475981528564,1.1718354135165785
theta_l_sf,-1.349085275197915,-2.2303039252524006,0.8812186500544856
beta_E_drgn6,-0.0484589776197602,-0.7899615660805186,0.7415025884607584
beta_l_age2_sm,0.3818800948603306,1.0,0.6181199051396694
beta_E_drgn3,0.031313770382988,0.6350010589106481,0.6036872885276601
theta_l_sm,-1.8616120265204583,-2.3988447613976476,0.5372327348771893
beta_E_drgn7,-0.1751526570287388,-0.7089648806866222,0.5338122236578834
beta_E_drgn8,-0.3656941546069446,0.15775941807507618,0.5234535726820208
beta_E_drgn5,-0.1402066979956915,-0.6507881260148887,0.5105814280191971
beta_l_nkids_sf,1.739492533192177,2.197222097447308,0.4577295642551311
beta_l_age_sm,0.6775305440791358,0.24716582576066792,0.4303647183184679
beta_l0_sm,4.548663369591292,4.88909111117913,0.3404277415878383
beta_h_lh,-1.2184848074097656,-0.8802214982272668,0.3382633091824988
beta_h_ft,1.0413227078263705,1.3720908776995375,0.33076816987316704
beta_h_pt2,-0.1036954463718583,0.19894115794736944,0.30263660431922773
beta_w_pexp,0.3827797053592998,0.19276860894426193,0.19001109641503786
beta_w_educL,-0.0607639395244288,0.03752163104101295,0.09828557056544175
beta_E_drgn2,-0.075028607972602,-0.16226732948036887,0.08723872150776688
beta_w_pexp2,-0.0822424960435394,0.0025442366567366963,0.0847867327002761
theta_c_singles,0.0075809783211004,-0.05958769117935174,0.06716866950045214
beta_w0,2.1968218592232938,2.152631730666118,0.04419012855717597
sigma,0.3898254999925787,0.42021547007608495,0.030389970083506246
beta_w_educH,0.3382027925000935,0.33107713430404484,0.0071256581960486565
beta_l_age2_sf,1.0,1.0,0.0
beta_l0_m,1e-06,1e-06,0.0
beta_l_age_m,-0.067236897452355,-0.067236897452355,0.0
beta_l_age_f,-1.780253386288037,-1.780253386288037,0.0
beta_l0_f,10.052237044896549,10.052237044896549,0.0
beta_l_age2_m,0.0877504891847849,0.0877504891847849,0.0
beta_l_nkids_f,0.5857198501055841,0.5857198501055841,0.0
beta_l_age2_f,1.0,1.0,0.0
theta_l_f,-2.131739110508045,-2.131739110508045,0.0
beta_E_y2017,-0.0694711073761977,-0.0694711073761977,0.0
beta_E_y2015,-0.2546064112385174,-0.2546064112385174,0.0
