param,certified,trial,moved
beta_l0_sm,4.548663,4.780398933885099,0.23173579454183724
beta_l_age_sm,0.6775305,0.35987419839143425,0.3176563287234339
beta_l_age2_sm,0.3818801,1.0,0.6181198954582214
theta_l_sm,-1.8616121,-2.3406522921782833,0.47904021065057334
beta_l0_sf,3.7285087,7.812070363808297,4.083561652947091
beta_l_age_sf,0.49863622,-0.837119254090148,1.3357554700153647
beta_l_age2_sf,1.0,1.0,0.0
beta_l_nkids_sf,1.7394925,1.8774971442368162,0.13800460864569075
theta_l_sf,-1.3490853,-1.9845879298360385,0.6355025988729037
theta_c_singles,0.0075809783,0.09345870251665912,0.08587772418643437
beta_l0_m,1e-06,9.999999974752427e-07,0.0
beta_l_age_m,-0.0672369,-0.06723690032958984,0.0
beta_l_age2_m,0.08775049,0.08775048702955246,0.0
beta_l0_f,10.0522375,10.052237510681152,0.0
beta_l_age_f,-1.7802534,-1.7802534103393555,0.0
beta_l_age2_f,1.0,1.0,0.0
beta_l_nkids_f,0.5857198,0.5857198238372803,0.0
theta_l_f,-2.1317391,-2.1317391395568848,0.0
beta_E,-0.752653,-2.897390227013939,2.1447372242749863
beta_h_pt1,-1.4332708,-1.2768557590897833,0.1564150529448236
beta_h_pt2,-0.103695445,-0.9805206532375238,0.876825208474817
beta_h_ft,1.0413227,0.8871515484486321,0.15417115968125072
beta_h_lh,-1.2184848,-1.4525802628564377,0.2340955035256882
beta_E_gsur,-1.3061904,-1.1047680264120596,0.20142234510130708
beta_E_drgn2,-0.075028606,-0.20503645134160303,0.1300078455824592
beta_E_drgn3,0.03131377,-0.08852772337450777,0.11984149289383685
beta_E_drgn4,-0.016858557,-0.6897267688726634,0.6728682116334885
beta_E_drgn5,-0.1402067,-0.26539493486239046,0.12518824025942416
beta_E_drgn6,-0.04845898,-0.5219410803022767,0.4734821017685319
beta_E_drgn7,-0.17515266,-0.38771382835254214,0.21256116893634341
beta_E_drgn8,-0.36569417,-0.3087436816024256,0.05695048362737176
beta_E_y2015,-0.25460643,-0.2546064257621765,0.0
beta_E_y2017,-0.069471106,-0.06947110593318939,0.0
beta_E_drgur,-0.53048784,-0.010018686706482958,0.5204691487007741
beta_E_drgmd,-0.6675447,0.10867255272851448,0.7762172752855824
beta_occ_2_m,-1.5916485,-1.302884049967305,0.2887644094672044
beta_occ_3_m,-2.2941015,-1.8859683241406628,0.4081331525286487
beta_occ_4_m,0.29064316,0.25347794062046447,0.037165214954334114
beta_occ_2_f,-0.047580525,-0.0758161377914628,0.0282356125124177
beta_occ_3_f,-0.47291863,-0.46120066553578215,0.011717964110519119
beta_occ_4_f,0.7717937,0.8545020408616137,0.08270831775522947
beta_w0,2.196822,2.1399516770250013,0.05687025099929066
beta_w_educL,-0.06076394,0.028673570199689098,0.08943751041479987
beta_w_educH,0.3382028,0.3450097680436862,0.006806963716675107
beta_w_pexp,0.38277972,0.23833717879162522,0.14444253865374831
beta_w_pexp2,-0.0822425,-0.013025560318980564,0.06921693599268401
sigma,0.3898255,0.41349225219035435,0.02366675909304905
