param,certified,trial,moved
beta_l0_sm,4.548663369591292,4.798273585411088,0.24961021581979548
beta_l_age_sm,0.6775305440791358,0.3700154178866206,0.3075151261925152
beta_l_age2_sm,0.3818800948603306,1.0,0.6181199051396694
theta_l_sm,-1.8616120265204583,-2.394299005793781,0.5326869792733229
beta_l0_sf,3.728508753936399,8.134538735801868,4.406029981865469
beta_l_age_sf,0.4986362103504623,-0.9270104400236616,1.4256466503741239
beta_l_age2_sf,1.0,1.0,0.0
beta_l_nkids_sf,1.739492533192177,1.4026223617544733,0.3368701714377036
theta_l_sf,-1.349085275197915,-2.112804625211962,0.7637193500140469
theta_c_singles,0.0075809783211004,-0.07706585451876447,0.08464683283986486
beta_l0_m,1e-06,1e-06,0.0
beta_l_age_m,-0.067236897452355,-0.067236897452355,0.0
beta_l_age2_m,0.0877504891847849,0.0877504891847849,0.0
beta_l0_f,10.052237044896549,10.052237044896549,0.0
beta_l_age_f,-1.780253386288037,-1.780253386288037,0.0
beta_l_age2_f,1.0,1.0,0.0
beta_l_nkids_f,0.5857198501055841,0.5857198501055841,0.0
theta_l_f,-2.131739110508045,-2.131739110508045,0.0
beta_E,-0.75265301737783,-1.7283568645852418,0.9757038472074119
beta_h_pt1,-1.4332708022989755,-0.16363453559611146,1.269636266702864
beta_h_pt2,-0.1036954463718583,0.18044028829696596,0.28413573466882425
beta_h_ft,1.0413227078263705,1.3588944766219766,0.3175717687956061
beta_h_lh,-1.2184848074097656,-0.8987493967783454,0.3197354106314202
beta_E_gsur,-1.306190335762088,-1.04902361121663,0.2571667245454581
beta_E_drgn2,-0.075028607972602,-0.32261885773872645,0.24759024976612445
beta_E_drgn3,0.031313770382988,-0.1969767376312371,0.2282905080142251
beta_E_drgn4,-0.0168585564606559,-0.833314826664763,0.816456270204107
beta_E_drgn5,-0.1402066979956915,-0.4064234559947269,0.26621675799903544
beta_E_drgn6,-0.0484589776197602,-0.5848524314179107,0.5363934537981505
beta_E_drgn7,-0.1751526570287388,-0.4153869208037517,0.24023426377501292
beta_E_drgn8,-0.3656941546069446,-0.44196523900811563,0.07627108440117103
beta_E_y2015,-0.2546064112385174,-0.2546064112385174,0.0
beta_E_y2017,-0.0694711073761977,-0.0694711073761977,0.0
beta_E_drgur,-0.530487815363722,0.0034228047581963484,0.5339106201219184
beta_E_drgmd,-0.6675446983120384,0.035807442911169045,0.7033521412232074
beta_occ_2_m,-1.5916485115155634,-1.5916485115155634,0.0
beta_occ_3_m,-2.294101394919219,-2.294101394919219,0.0
beta_occ_4_m,0.2906431544805711,0.2906431544805711,0.0
beta_occ_2_f,-0.0475805242455427,-0.0475805242455427,0.0
beta_occ_3_f,-0.4729186216832488,-0.4729186216832488,0.0
beta_occ_4_f,0.7717937415014848,0.7717937415014848,0.0
beta_w0,2.1968218592232938,2.1367579352562918,0.060063923967002
beta_w_educL,-0.0607639395244288,0.01828727879133665,0.07905121831576545
beta_w_educH,0.3382027925000935,0.32374613856986845,0.01445665393022505
beta_w_pexp,0.3827797053592998,0.22784698311672383,0.15493272224257595
beta_w_pexp2,-0.0822424960435394,-0.011786330399308926,0.07045616564423048
sigma,0.3898254999925787,0.4196642982269841,0.029838798234405384
