param,certified,trial,moved
beta_l0_sf,3.728508753936399,8.131042833575094,4.402534079638695
beta_l_age_sf,0.4986362103504623,-0.9261859707585299,1.4248221811089923
beta_h_pt1,-1.4332708022989755,-0.16362656095828923,1.2696442413406863
beta_E,-0.75265301737783,-1.7286056318511458,0.9759526144733158
beta_E_drgn4,-0.0168585564606559,-0.833082297299326,0.8162237408386701
theta_l_sf,-1.349085275197915,-2.112585936894765,0.76350066169685
beta_E_drgmd,-0.6675446983120384,0.03582822272352764,0.703372921035566
beta_l_age2_sm,0.3818800948603306,1.0,0.6181199051396694
beta_E_drgn6,-0.0484589776197602,-0.5846378565669587,0.5361788789471984
beta_E_drgur,-0.530487815363722,0.0034928206430880674,0.5339806360068101
theta_l_sm,-1.8616120265204583,-2.39422025295109,0.5326082264306318
beta_l_nkids_sf,1.739492533192177,1.4036479492516234,0.3358445839405535
beta_h_lh,-1.2184848074097656,-0.8987624089310192,0.3197223984787464
beta_h_ft,1.0413227078263705,1.3589012392046427,0.3175785313782722
beta_l_age_sm,0.6775305440791358,0.3715026700252075,0.30602787405392834
beta_h_pt2,-0.1036954463718583,0.1804568985195618,0.2841523448914201
beta_E_drgn5,-0.1402066979956915,-0.4062342147014746,0.26602751670578306
beta_E_gsur,-1.306190335762088,-1.0490128396578131,0.257177496104275
beta_l0_sm,4.548663369591292,4.79796738242216,0.24930401283086745
beta_E_drgn2,-0.075028607972602,-0.32239041586252515,0.24736180788992315
beta_E_drgn7,-0.1751526570287388,-0.4151407764173997,0.2399881193886609
beta_E_drgn3,0.031313770382988,-0.19673869664761862,0.2280524670306066
beta_w_pexp,0.3827797053592998,0.227841678028529,0.15493802733077078
theta_c_singles,0.0075809783211004,-0.07706553473125538,0.08464651305235578
beta_w_educL,-0.0607639395244288,0.01828841235068366,0.07905235187511246
beta_E_drgn8,-0.3656941546069446,-0.44175093642299745,0.07605678181605285
beta_w_pexp2,-0.0822424960435394,-0.011783080511224144,0.07045941553231526
beta_w0,2.1968218592232938,2.1367589982381254,0.06006286098516833
sigma,0.3898254999925787,0.41966408934880883,0.029838589356230127
beta_w_educH,0.3382027925000935,0.3237474645467641,0.014455327953329378
beta_l_age2_sf,1.0,1.0,0.0
beta_l_age_f,-1.780253386288037,-1.780253386288037,0.0
beta_l0_f,10.052237044896549,10.052237044896549,0.0
beta_l_age2_m,0.0877504891847849,0.0877504891847849,0.0
beta_l_age_m,-0.067236897452355,-0.067236897452355,0.0
beta_l0_m,1e-06,1e-06,0.0
beta_l_age2_f,1.0,1.0,0.0
beta_l_nkids_f,0.5857198501055841,0.5857198501055841,0.0
theta_l_f,-2.131739110508045,-2.131739110508045,0.0
beta_occ_2_f,-0.0475805242455427,-0.0475805242455427,0.0
beta_occ_4_m,0.2906431544805711,0.2906431544805711,0.0
beta_occ_3_m,-2.294101394919219,-2.294101394919219,0.0
beta_occ_2_m,-1.5916485115155634,-1.5916485115155634,0.0
beta_E_y2015,-0.2546064112385174,-0.2546064112385174,0.0
beta_E_y2017,-0.0694711073761977,-0.0694711073761977,0.0
beta_occ_3_f,-0.4729186216832488,-0.4729186216832488,0.0
beta_occ_4_f,0.7717937415014848,0.7717937415014848,0.0
