full_index_0based,param,block,status,free_index_0based,interior_index_0based,accepted_value_full_precision,spec_bound_lb,spec_bound_ub,runtime_bound_lb,runtime_bound_ub,active_bound_side,dist_to_lb,dist_to_ub,grad_full_negll,grad_free_negll,pin_value,pin_role,regional_design_column,regional_free_position
29,beta_E_drgn7,opportunity_market_regional_access,interior,21,19,-0.3877138275750329,-10.0,10.0,-10.0,10.0,,9.612286172424968,10.387713827575032,-2.7555954655644754e-05,-2.7555954655644754e-05,,,reg7,21
30,beta_E_drgn8,opportunity_market_regional_access,interior,22,20,-0.3087436824595606,-10.0,10.0,-10.0,10.0,,9.69125631754044,10.30874368245956,3.1156133590393154e-05,3.1156133590393154e-05,,,reg8,22
31,beta_E_y2015,opportunity_market_year,pinned,,,-0.2546064112385174,-5.0,5.0,-0.2546064112385174,-0.2546064112385174,,4.745393588761482,5.254606411238518,0.0,,-0.2546064112385174,structurally_inapplicable__identically_zero_covariate_2016_only,,
32,beta_E_y2017,opportunity_market_year,pinned,,,-0.0694711073761977,-5.0,5.0,-0.0694711073761977,-0.0694711073761977,,4.930528892623802,5.069471107376198,0.0,,-0.0694711073761977,structurally_inapplicable__identically_zero_covariate_2016_only,,
33,beta_E_drgur,opportunity_market_regional_access,interior,23,21,-0.010018686507697877,-10.0,10.0,-10.0,10.0,,9.989981313492304,10.010018686507696,-5.545948251750588e-06,-5.545948251750588e-06,,,drgur,23
34,beta_E_drgmd,opportunity_market_regional_access,interior,24,22,0.10867255286061041,-10.0,10.0,-10.0,10.0,,10.108672552860613,9.891327447139387,-4.12839415808719e-06,-4.12839415808719e-06,,,drgmd,24
35,beta_occ_2_m,opportunity_occupation,interior,25,23,-1.302884050507318,-15.0,15.0,-15.0,15.0,,13.697115949492682,16.302884050507316,1.880589638725283e-05,1.880589638725283e-05,,,,
36,beta_occ_3_m,opportunity_occupation,interior,26,24,-1.885968323915724,-15.0,15.0,-15.0,15.0,,13.114031676084275,16.885968323915723,-7.971370397763522e-06,-7.971370397763522e-06,,,,
37,beta_occ_4_m,opportunity_occupation,interior,27,25,0.25347794230828025,-15.0,15.0,-15.0,15.0,,15.25347794230828,14.74652205769172,-5.742781508599748e-05,-5.742781508599748e-05,,,,
38,beta_occ_2_f,opportunity_occupation,interior,28,26,-0.07581613811014462,-15.0,15.0,-15.0,15.0,,14.924183861889857,15.075816138110143,1.0612299919721124e-05,1.0612299919721124e-05,,,,
39,beta_occ_3_f,opportunity_occupation,interior,29,27,-0.4612006656781678,-15.0,15.0,-15.0,15.0,,14.538799334321832,15.461200665678168,4.82376218169378e-06,4.82376218169378e-06,,,,
40,beta_occ_4_f,opportunity_occupation,interior,30,28,0.8545020395051448,-15.0,15.0,-15.0,15.0,,15.854502039505144,14.145497960494856,5.145573067899534e-05,5.145573067899534e-05,,,,
41,beta_w0,wage_density,interior,31,29,2.1399516809316084,-10.0,20.0,-10.0,20.0,,12.139951680931608,17.86004831906839,0.0001090798355676,0.00010907983556762701,,,,
42,beta_w_educL,wage_density,interior,32,30,0.028673573754622674,-5.0,5.0,-5.0,5.0,,5.028673573754623,4.971326426245377,-8.632863846003147e-05,-8.632863846003147e-05,,,,
43,beta_w_educH,wage_density,interior,33,31,0.3450097673332699,-5.0,5.0,-5.0,5.0,,5.34500976733327,4.65499023266673,0.0001099259720618,0.00010992597206183063,,,,
44,beta_w_pexp,wage_density,interior,34,32,0.23833718601077775,-1.0,1.0,-1.0,1.0,,1.2383371860107777,0.7616628139892223,7.126060700102244e-05,7.126060700102244e-05,,,,
45,beta_w_pexp2,wage_density,interior,35,33,-0.013025547619009226,-0.1,0.1,-0.1,0.1,,0.0869744523809907,0.1130255476190092,4.393628927346072e-05,4.3936289273460716e-05,,,,
46,sigma,wage_density,interior,36,34,0.41349226078356854,0.1,20.0,0.1,20.0,,0.3134922607835685,19.586507739216437,-3.645418703968062e-05,-3.645418703968062e-05,,,,
