"RelativePath","RootsPresent","Lengths","Times"
"Data\FR (1).zip","U:\EUROMOD-STORAGE; Z:\Hisham\EUROMOD-STORAGE","70376494","U:\EUROMOD-STORAGE=2025-12-03 15:03:37 | Z:\Hisham\EUROMOD-STORAGE=2026-02-04 16:01:06"
"Data\processed\fr\2016\couples_RURO_ready_jobdraws.parquet","U:\EUROMOD-STORAGE; Z:\Hisham\EUROMOD-STORAGE","16543814; 25065484","U:\EUROMOD-STORAGE=2026-02-04 20:28:01 | Z:\Hisham\EUROMOD-STORAGE=2026-02-08 21:54:14"
"Data\processed\fr\2016\couples_RURO_ready_jobdraws__drawsmeta.json","U:\EUROMOD-STORAGE; Z:\Hisham\EUROMOD-STORAGE","11757; 11826","U:\EUROMOD-STORAGE=2026-02-04 20:28:01 | Z:\Hisham\EUROMOD-STORAGE=2026-02-08 21:54:14"
"Data\processed\fr\2016\fr_2016_RURO_mnl__couples.parquet","U:\EUROMOD-STORAGE; Z:\Hisham\EUROMOD-STORAGE; Z:\Hisham\EUROMOD-STORAGE_1","42168235; 42433564","U:\EUROMOD-STORAGE=2026-02-05 14:09:08 | Z:\Hisham\EUROMOD-STORAGE=2026-02-05 14:11:01 | Z:\Hisham\EUROMOD-STORAGE_1=2026-01-16 18:29:08"
"Data\processed\fr\2016\fr_2016_RURO_mnl__mnlmeta.json","U:\EUROMOD-STORAGE; Z:\Hisham\EUROMOD-STORAGE; Z:\Hisham\EUROMOD-STORAGE_1","38064; 57443","U:\EUROMOD-STORAGE=2026-02-05 14:09:08 | Z:\Hisham\EUROMOD-STORAGE=2026-02-05 14:11:01 | Z:\Hisham\EUROMOD-STORAGE_1=2026-01-16 18:29:08"
"Data\processed\fr\2016\fr_2016_RURO_mnl__singles.parquet","U:\EUROMOD-STORAGE; Z:\Hisham\EUROMOD-STORAGE; Z:\Hisham\EUROMOD-STORAGE_1","21185804; 21299439","U:\EUROMOD-STORAGE=2026-02-05 14:09:07 | Z:\Hisham\EUROMOD-STORAGE=2026-02-05 14:11:02 | Z:\Hisham\EUROMOD-STORAGE_1=2026-01-16 18:29:07"
"Data\processed\fr\2016\fr_2016_RURO_mnl_job__couples.parquet","U:\EUROMOD-STORAGE; Z:\Hisham\EUROMOD-STORAGE","16156943; 29388260","U:\EUROMOD-STORAGE=2026-02-04 14:45:55 | Z:\Hisham\EUROMOD-STORAGE=2026-02-05 13:31:35"
"Data\processed\fr\2016\fr_2016_RURO_mnl_job__mnlmeta.json","U:\EUROMOD-STORAGE; Z:\Hisham\EUROMOD-STORAGE","58728; 58809","U:\EUROMOD-STORAGE=2026-02-04 14:45:55 | Z:\Hisham\EUROMOD-STORAGE=2026-02-05 13:31:35"
"Data\processed\fr\2016\fr_2016_RURO_mnl_job__singles.parquet","U:\EUROMOD-STORAGE; Z:\Hisham\EUROMOD-STORAGE","5377115; 8871904","U:\EUROMOD-STORAGE=2026-02-04 14:45:54 | Z:\Hisham\EUROMOD-STORAGE=2026-02-05 13:31:34"
"Data\processed\fr\2016\fr_2016_RURO_mnl_job_gmm__couples.parquet","Z:\Hisham\EUROMOD-STORAGE","234727689","Z:\Hisham\EUROMOD-STORAGE=2026-02-19 14:38:39"
"Data\processed\fr\2016\fr_2016_RURO_mnl_job_gmm__mnlmeta.json","Z:\Hisham\EUROMOD-STORAGE","59019","Z:\Hisham\EUROMOD-STORAGE=2026-02-19 14:38:39"
