"RunPath","RelativePath","FileCount","HasResults","HasSummary","HasDiagnostics","HasSpec","LastWriteTime"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-16_19-10-34","2026-01-16_19-10-34","1","False","False","False","False","16-01-26 19:10:34"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-16_19-45-00","2026-01-16_19-45-00","1","False","False","False","False","16-01-26 19:45:00"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-16_19-55-17","2026-01-16_19-55-17","1","False","False","False","False","16-01-26 19:55:17"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-16_20-10-05","2026-01-16_20-10-05","6","True","False","False","True","16-01-26 20:12:46"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-16_20-22-31","2026-01-16_20-22-31","7","True","True","False","True","16-01-26 20:25:08"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-17_01-24-03","2026-01-17_01-24-03","1","False","False","False","False","17-01-26 01:24:03"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-17_09-11-59","2026-01-17_09-11-59","1","False","False","False","False","17-01-26 09:11:59"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-17_09-26-49","2026-01-17_09-26-49","1","False","False","False","False","17-01-26 09:26:49"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-17_09-42-32","2026-01-17_09-42-32","1","False","False","False","False","17-01-26 09:42:32"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-17_09-55-53","2026-01-17_09-55-53","1","False","False","False","False","17-01-26 09:55:53"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-17_10-09-26","2026-01-17_10-09-26","7","True","True","False","True","17-01-26 10:16:57"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-17_14-43-21","2026-01-17_14-43-21","1","False","False","False","False","17-01-26 14:43:21"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-17_14-53-16","2026-01-17_14-53-16","7","True","True","False","True","17-01-26 14:59:25"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-17_15-09-45","2026-01-17_15-09-45","1","False","False","False","False","17-01-26 15:09:45"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-17_15-10-15","2026-01-17_15-10-15","7","True","True","False","True","17-01-26 15:15:50"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-17_19-29-22","2026-01-17_19-29-22","1","False","False","False","False","17-01-26 19:29:22"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-17_19-29-40","2026-01-17_19-29-40","1","False","False","False","False","17-01-26 19:29:40"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-17_19-32-00","2026-01-17_19-32-00","1","False","False","False","False","17-01-26 19:32:00"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-17_19-42-09","2026-01-17_19-42-09","7","True","True","False","True","17-01-26 19:57:13"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-19_16-41-16","2026-01-19_16-41-16","1","False","False","False","False","19-01-26 16:41:16"
