"Root","RelativePath","FullName","Name","Extension","Length","LastWriteTime"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","-01-27_12-09-18\estimation_summary.txt","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec_v2\run_2026-01-27_12-09-18\estimation_summary.txt","estimation_summary.txt",".txt","491","27-01-26 12:20:14"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","-01-27_12-09-18\specification_used.yaml","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec_v2\run_2026-01-27_12-09-18\specification_used.yaml","specification_used.yaml",".yaml","10330","27-01-26 12:20:14"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","016_gamspy\run_2026-01-23_14-10-01\estimation.log","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_theta0\2016_gamspy\run_2026-01-23_14-10-01\estimation.log","estimation.log",".log","22680","23-01-26 14:20:37"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","016_gamspy\run_2026-01-23_14-10-01\estimation_results.json","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_theta0\2016_gamspy\run_2026-01-23_14-10-01\estimation_results.json","estimation_results.json",".json","18955","23-01-26 14:20:37"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","016_gamspy\run_2026-01-23_14-10-01\estimation_results_couples.csv","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_theta0\2016_gamspy\run_2026-01-23_14-10-01\estimation_results_couples.csv","estimation_results_couples.csv",".csv","737","23-01-26 14:20:37"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","016_gamspy\run_2026-01-23_14-10-01\estimation_results_singles_female.csv","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_theta0\2016_gamspy\run_2026-01-23_14-10-01\estimation_results_singles_female.csv","estimation_results_singles_female.csv",".csv","737","23-01-26 14:20:37"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","016_gamspy\run_2026-01-23_14-10-01\estimation_results_singles_male.csv","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_theta0\2016_gamspy\run_2026-01-23_14-10-01\estimation_results_singles_male.csv","estimation_results_singles_male.csv",".csv","737","23-01-26 14:20:37"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","016_gamspy\run_2026-01-23_14-10-01\estimation_summary.txt","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_theta0\2016_gamspy\run_2026-01-23_14-10-01\estimation_summary.txt","estimation_summary.txt",".txt","3759","23-01-26 14:20:37"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","016_gamspy\run_2026-01-23_14-10-01\specification_used.yaml","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_theta0\2016_gamspy\run_2026-01-23_14-10-01\specification_used.yaml","specification_used.yaml",".yaml","3885","23-01-26 14:20:37"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","016_gamspy\run_2026-01-23_14-49-16\estimation.log","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_theta0\2016_gamspy\run_2026-01-23_14-49-16\estimation.log","estimation.log",".log","22411","23-01-26 14:59:18"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","016_gamspy\run_2026-01-23_14-49-16\estimation_results.json","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_theta0\2016_gamspy\run_2026-01-23_14-49-16\estimation_results.json","estimation_results.json",".json","15433","23-01-26 14:59:18"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","016_gamspy\run_2026-01-23_14-49-16\estimation_results_couples.csv","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_theta0\2016_gamspy\run_2026-01-23_14-49-16\estimation_results_couples.csv","estimation_results_couples.csv",".csv","737","23-01-26 14:59:18"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","016_gamspy\run_2026-01-23_14-49-16\estimation_results_singles_female.csv","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_theta0\2016_gamspy\run_2026-01-23_14-49-16\estimation_results_singles_female.csv","estimation_results_singles_female.csv",".csv","737","23-01-26 14:59:18"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","016_gamspy\run_2026-01-23_14-49-16\estimation_results_singles_male.csv","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_theta0\2016_gamspy\run_2026-01-23_14-49-16\estimation_results_singles_male.csv","estimation_results_singles_male.csv",".csv","737","23-01-26 14:59:18"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","016_gamspy\run_2026-01-23_14-49-16\estimation_summary.txt","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_theta0\2016_gamspy\run_2026-01-23_14-49-16\estimation_summary.txt","estimation_summary.txt",".txt","3759","23-01-26 14:59:18"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","016_gamspy\run_2026-01-23_14-49-16\specification_used.yaml","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_theta0\2016_gamspy\run_2026-01-23_14-49-16\specification_used.yaml","specification_used.yaml",".yaml","3885","23-01-26 14:59:18"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","016_gamspy\run_2026-01-23_15-41-04\estimation.log","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_theta0\2016_gamspy\run_2026-01-23_15-41-04\estimation.log","estimation.log",".log","22412","23-01-26 15:51:15"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","016_gamspy\run_2026-01-23_15-41-04\estimation_results.json","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_theta0\2016_gamspy\run_2026-01-23_15-41-04\estimation_results.json","estimation_results.json",".json","11310","23-01-26 16:06:26"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","016_gamspy\run_2026-01-23_15-41-04\estimation_results_couples.csv","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_theta0\2016_gamspy\run_2026-01-23_15-41-04\estimation_results_couples.csv","estimation_results_couples.csv",".csv","737","23-01-26 15:51:15"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","016_gamspy\run_2026-01-23_15-41-04\estimation_results_singles_female.csv","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_theta0\2016_gamspy\run_2026-01-23_15-41-04\estimation_results_singles_female.csv","estimation_results_singles_female.csv",".csv","737","23-01-26 15:51:15"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","016_gamspy\run_2026-01-23_15-41-04\estimation_results_singles_male.csv","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_theta0\2016_gamspy\run_2026-01-23_15-41-04\estimation_results_singles_male.csv","estimation_results_singles_male.csv",".csv","737","23-01-26 15:51:15"
