"Root","RelativePath","FullName","Name","Extension","Length","LastWriteTime"
"U:\EUROMOD-STORAGE","Data\DE_2019_a2.txt","U:\EUROMOD-STORAGE\Data\DE_2019_a2.txt","DE_2019_a2.txt",".txt","9982009","21-10-21 11:38:02"
"U:\EUROMOD-STORAGE","Data\DE_2020_b1.txt","U:\EUROMOD-STORAGE\Data\DE_2020_b1.txt","DE_2020_b1.txt",".txt","19878339","15-11-22 15:27:44"
"U:\EUROMOD-STORAGE","Data\DE_2021_b1.txt","U:\EUROMOD-STORAGE\Data\DE_2021_b1.txt","DE_2021_b1.txt",".txt","25730582","29-05-23 16:22:37"
"U:\EUROMOD-STORAGE","Data\DRD_DE_2008_a8.xls","U:\EUROMOD-STORAGE\Data\DRD_DE_2008_a8.xls","DRD_DE_2008_a8.xls",".xls","2223104","15-06-18 18:10:25"
"U:\EUROMOD-STORAGE","Data\DRD_DE_2010_a8.xls","U:\EUROMOD-STORAGE\Data\DRD_DE_2010_a8.xls","DRD_DE_2010_a8.xls",".xls","1980416","15-06-18 18:22:00"
"U:\EUROMOD-STORAGE","Data\DRD_DE_2012_a8.xls","U:\EUROMOD-STORAGE\Data\DRD_DE_2012_a8.xls","DRD_DE_2012_a8.xls",".xls","603648","15-06-18 18:14:30"
"U:\EUROMOD-STORAGE","Data\DRD_DE_2014_a3.xls","U:\EUROMOD-STORAGE\Data\DRD_DE_2014_a3.xls","DRD_DE_2014_a3.xls",".xls","514560","15-06-18 18:11:42"
"U:\EUROMOD-STORAGE","Data\DRD_DE_2015_a1.xls","U:\EUROMOD-STORAGE\Data\DRD_DE_2015_a1.xls","DRD_DE_2015_a1.xls",".xls","513536","01-07-25 11:23:29"
"U:\EUROMOD-STORAGE","Data\DRD_DE_2015_a1_export.txt","U:\EUROMOD-STORAGE\Data\DRD_DE_2015_a1_export.txt","DRD_DE_2015_a1_export.txt",".txt","56331","13-10-25 14:46:15"
"U:\EUROMOD-STORAGE","Data\DRD_DE_2016_a1.xls","U:\EUROMOD-STORAGE\Data\DRD_DE_2016_a1.xls","DRD_DE_2016_a1.xls",".xls","533504","01-07-25 11:26:24"
"U:\EUROMOD-STORAGE","Data\DRD_DE_2017_a2.xls","U:\EUROMOD-STORAGE\Data\DRD_DE_2017_a2.xls","DRD_DE_2017_a2.xls",".xls","509952","03-07-19 15:56:30"
"U:\EUROMOD-STORAGE","Data\DRD_DE_2018_a1.xls","U:\EUROMOD-STORAGE\Data\DRD_DE_2018_a1.xls","DRD_DE_2018_a1.xls",".xls","531968","12-05-20 15:31:10"
"U:\EUROMOD-STORAGE","Data\DRD_DE_2019_a2.xls","U:\EUROMOD-STORAGE\Data\DRD_DE_2019_a2.xls","DRD_DE_2019_a2.xls",".xls","665600","01-07-25 11:26:47"
"U:\EUROMOD-STORAGE","Data\DRD_DE_2020_b1.xls","U:\EUROMOD-STORAGE\Data\DRD_DE_2020_b1.xls","DRD_DE_2020_b1.xls",".xls","697344","24-11-22 13:01:13"
"U:\EUROMOD-STORAGE","Data\DRD_DE_2021_b1.xls","U:\EUROMOD-STORAGE\Data\DRD_DE_2021_b1.xls","DRD_DE_2021_b1.xls",".xls","691200","01-07-25 11:26:00"
"U:\EUROMOD-STORAGE","Data\DRD_FR_2021_c2.xls","U:\EUROMOD-STORAGE\Data\DRD_FR_2021_c2.xls","DRD_FR_2021_c2.xls",".xls","676352","27-06-23 20:50:38"
"U:\EUROMOD-STORAGE","Data\DRD_FR_2021_c2_export.txt","U:\EUROMOD-STORAGE\Data\DRD_FR_2021_c2_export.txt","DRD_FR_2021_c2_export.txt",".txt","81406","29-11-25 17:58:17"
"U:\EUROMOD-STORAGE","Data\FR (1).zip","U:\EUROMOD-STORAGE\Data\FR (1).zip","FR (1).zip",".zip","70376494","03-12-25 15:03:37"
"U:\EUROMOD-STORAGE","Data\FR.zip","U:\EUROMOD-STORAGE\Data\FR.zip","FR.zip",".zip","60305745","03-12-25 15:02:15"
"U:\EUROMOD-STORAGE","Data\FR\DRD_FR_2007_a3.xlsx","U:\EUROMOD-STORAGE\Data\FR\DRD_FR_2007_a3.xlsx","DRD_FR_2007_a3.xlsx",".xlsx","232108","29-08-25 18:33:34"
"U:\EUROMOD-STORAGE","Data\FR\DRD_FR_2010_a3.xlsx","U:\EUROMOD-STORAGE\Data\FR\DRD_FR_2010_a3.xlsx","DRD_FR_2010_a3.xlsx",".xlsx","213500","29-08-25 18:33:39"
"U:\EUROMOD-STORAGE","Data\FR\DRD_FR_2010_a3_2010_03_e1.xlsx","U:\EUROMOD-STORAGE\Data\FR\DRD_FR_2010_a3_2010_03_e1.xlsx","DRD_FR_2010_a3_2010_03_e1.xlsx",".xlsx","270420","29-08-25 18:34:28"
"U:\EUROMOD-STORAGE","Data\FR\DRD_FR_2012_b3.xls","U:\EUROMOD-STORAGE\Data\FR\DRD_FR_2012_b3.xls","DRD_FR_2012_b3.xls",".xls","616448","29-08-25 18:33:41"
"U:\EUROMOD-STORAGE","Data\FR\DRD_FR_2015_a2.xls","U:\EUROMOD-STORAGE\Data\FR\DRD_FR_2015_a2.xls","DRD_FR_2015_a2.xls",".xls","435712","29-08-25 18:33:44"
"U:\EUROMOD-STORAGE","Data\FR\DRD_FR_2015_a2_2015_03_e2.xls","U:\EUROMOD-STORAGE\Data\FR\DRD_FR_2015_a2_2015_03_e2.xls","DRD_FR_2015_a2_2015_03_e2.xls",".xls","586752","29-08-25 18:34:29"
"U:\EUROMOD-STORAGE","Data\FR\DRD_FR_2016_a3.xls","U:\EUROMOD-STORAGE\Data\FR\DRD_FR_2016_a3.xls","DRD_FR_2016_a3.xls",".xls","436736","06-02-26 12:36:49"
"U:\EUROMOD-STORAGE","Data\FR\DRD_FR_2017_a2.xls","U:\EUROMOD-STORAGE\Data\FR\DRD_FR_2017_a2.xls","DRD_FR_2017_a2.xls",".xls","507904","29-08-25 18:33:49"
"U:\EUROMOD-STORAGE","Data\FR\DRD_FR_2018_a2.xls","U:\EUROMOD-STORAGE\Data\FR\DRD_FR_2018_a2.xls","DRD_FR_2018_a2.xls",".xls","327168","29-08-25 18:33:57"
"U:\EUROMOD-STORAGE","Data\FR\DRD_FR_2019_c2.xls","U:\EUROMOD-STORAGE\Data\FR\DRD_FR_2019_c2.xls","DRD_FR_2019_c2.xls",".xls","658944","29-08-25 18:34:04"
"U:\EUROMOD-STORAGE","Data\FR\DRD_FR_2019_c2_2015_03_e2.xls","U:\EUROMOD-STORAGE\Data\FR\DRD_FR_2019_c2_2015_03_e2.xls","DRD_FR_2019_c2_2015_03_e2.xls",".xls","776704","29-08-25 18:34:09"
"U:\EUROMOD-STORAGE","Data\FR\DRD_FR_2020_c2.xls","U:\EUROMOD-STORAGE\Data\FR\DRD_FR_2020_c2.xls","DRD_FR_2020_c2.xls",".xls","554496","29-08-25 18:34:13"
"U:\EUROMOD-STORAGE","Data\FR\DRD_FR_2020_c2_2015_03_e2.xls","U:\EUROMOD-STORAGE\Data\FR\DRD_FR_2020_c2_2015_03_e2.xls","DRD_FR_2020_c2_2015_03_e2.xls",".xls","713728","29-08-25 18:34:17"
"U:\EUROMOD-STORAGE","Data\FR\DRD_FR_2021_c2.xls","U:\EUROMOD-STORAGE\Data\FR\DRD_FR_2021_c2.xls","DRD_FR_2021_c2.xls",".xls","676352","29-08-25 18:34:21"
"U:\EUROMOD-STORAGE","Data\FR\DRD_FR_2021_c2_2015_03_e2.xls","U:\EUROMOD-STORAGE\Data\FR\DRD_FR_2021_c2_2015_03_e2.xls","DRD_FR_2021_c2_2015_03_e2.xls",".xls","797696","29-08-25 18:34:25"
"U:\EUROMOD-STORAGE","Data\FR\DRD_FR_2022_c1.xlsx","U:\EUROMOD-STORAGE\Data\FR\DRD_FR_2022_c1.xlsx","DRD_FR_2022_c1.xlsx",".xlsx","291417","29-08-25 18:34:29"
"U:\EUROMOD-STORAGE","Data\FR\DRD_FR_2022_c1_2015_03_e2.xlsx","U:\EUROMOD-STORAGE\Data\FR\DRD_FR_2022_c1_2015_03_e2.xlsx","DRD_FR_2022_c1_2015_03_e2.xlsx",".xlsx","350132","29-08-25 18:34:30"
"U:\EUROMOD-STORAGE","Data\FR\DRD_FR_2023_c1_2015_03_e2.xls","U:\EUROMOD-STORAGE\Data\FR\DRD_FR_2023_c1_2015_03_e2.xls","DRD_FR_2023_c1_2015_03_e2.xls",".xls","520192","29-08-25 18:34:32"
"U:\EUROMOD-STORAGE","Data\FR\FR_2007_a3.txt","U:\EUROMOD-STORAGE\Data\FR\FR_2007_a3.txt","FR_2007_a3.txt",".txt","7164155","29-08-25 18:33:33"
"U:\EUROMOD-STORAGE","Data\FR\FR_2010_a3.txt","U:\EUROMOD-STORAGE\Data\FR\FR_2010_a3.txt","FR_2010_a3.txt",".txt","8100473","29-08-25 18:33:39"
"U:\EUROMOD-STORAGE","Data\FR\FR_2010_a3_2010_03_e1.txt","U:\EUROMOD-STORAGE\Data\FR\FR_2010_a3_2010_03_e1.txt","FR_2010_a3_2010_03_e1.txt",".txt","29760002","29-08-25 18:34:27"
"U:\EUROMOD-STORAGE","Data\FR\FR_2012_b3.txt","U:\EUROMOD-STORAGE\Data\FR\FR_2012_b3.txt","FR_2012_b3.txt",".txt","10743658","29-08-25 18:33:41"
"U:\EUROMOD-STORAGE","Data\FR\FR_2015_a2.txt","U:\EUROMOD-STORAGE\Data\FR\FR_2015_a2.txt","FR_2015_a2.txt",".txt","9826418","29-08-25 18:33:44"
"U:\EUROMOD-STORAGE","Data\FR\FR_2015_a2_2015_03_e2.txt","U:\EUROMOD-STORAGE\Data\FR\FR_2015_a2_2015_03_e2.txt","FR_2015_a2_2015_03_e2.txt",".txt","36410390","29-08-25 18:34:28"
"U:\EUROMOD-STORAGE","Data\FR\FR_2016_a3.txt","U:\EUROMOD-STORAGE\Data\FR\FR_2016_a3.txt","FR_2016_a3.txt",".txt","10056505","29-08-25 18:33:46"
"U:\EUROMOD-STORAGE","Data\FR\FR_2017_a2.txt","U:\EUROMOD-STORAGE\Data\FR\FR_2017_a2.txt","FR_2017_a2.txt",".txt","9822839","29-08-25 18:33:49"
"U:\EUROMOD-STORAGE","Data\FR\FR_2018_a2.txt","U:\EUROMOD-STORAGE\Data\FR\FR_2018_a2.txt","FR_2018_a2.txt",".txt","9428796","29-08-25 18:33:57"
"U:\EUROMOD-STORAGE","Data\FR\FR_2019_c2.txt","U:\EUROMOD-STORAGE\Data\FR\FR_2019_c2.txt","FR_2019_c2.txt",".txt","10675018","29-08-25 18:34:04"
"U:\EUROMOD-STORAGE","Data\FR\FR_2019_c2_2015_03_e2.txt","U:\EUROMOD-STORAGE\Data\FR\FR_2019_c2_2015_03_e2.txt","FR_2019_c2_2015_03_e2.txt",".txt","37267595","29-08-25 18:34:08"
"U:\EUROMOD-STORAGE","Data\FR\FR_2020_c2.txt","U:\EUROMOD-STORAGE\Data\FR\FR_2020_c2.txt","FR_2020_c2.txt",".txt","10392340","29-08-25 18:34:13"
"U:\EUROMOD-STORAGE","Data\FR\FR_2020_c2_2015_03_e2.txt","U:\EUROMOD-STORAGE\Data\FR\FR_2020_c2_2015_03_e2.txt","FR_2020_c2_2015_03_e2.txt",".txt","34591974","29-08-25 18:34:17"
"U:\EUROMOD-STORAGE","Data\FR\FR_2021_c2.txt","U:\EUROMOD-STORAGE\Data\FR\FR_2021_c2.txt","FR_2021_c2.txt",".txt","12671463","29-08-25 18:34:21"
"U:\EUROMOD-STORAGE","Data\FR\FR_2021_c2_2015_03_e2.txt","U:\EUROMOD-STORAGE\Data\FR\FR_2021_c2_2015_03_e2.txt","FR_2021_c2_2015_03_e2.txt",".txt","44280548","29-08-25 18:34:24"
"U:\EUROMOD-STORAGE","Data\FR\FR_2022_c1.txt","U:\EUROMOD-STORAGE\Data\FR\FR_2022_c1.txt","FR_2022_c1.txt",".txt","16573647","29-08-25 18:34:29"
"U:\EUROMOD-STORAGE","Data\FR\FR_2022_c1_2015_03_e2.txt","U:\EUROMOD-STORAGE\Data\FR\FR_2022_c1_2015_03_e2.txt","FR_2022_c1_2015_03_e2.txt",".txt","54222227","29-08-25 18:34:30"
"U:\EUROMOD-STORAGE","Data\FR\FR_2023_c1_2015_03_e2.txt","U:\EUROMOD-STORAGE\Data\FR\FR_2023_c1_2015_03_e2.txt","FR_2023_c1_2015_03_e2.txt",".txt","55558339","29-08-25 18:34:31"
"U:\EUROMOD-STORAGE","Data\Methodological guidelines 2021 operation v8 (accessible).pdf","U:\EUROMOD-STORAGE\Data\Methodological guidelines 2021 operation v8 (accessible).pdf","Methodological guidelines 2021 operation v8 (accessible).pdf",".pdf","8269901","09-01-25 17:17:41"
"U:\EUROMOD-STORAGE","Data\processed\fr\2016\couples_RURO_ready.parquet","U:\EUROMOD-STORAGE\Data\processed\fr\2016\couples_RURO_ready.parquet","couples_RURO_ready.parquet",".parquet","7195830","05-02-26 14:00:37"
"U:\EUROMOD-STORAGE","Data\processed\fr\2016\couples_RURO_ready__colgroups.json","U:\EUROMOD-STORAGE\Data\processed\fr\2016\couples_RURO_ready__colgroups.json","couples_RURO_ready__colgroups.json",".json","18196","05-02-26 14:00:37"
"U:\EUROMOD-STORAGE","Data\processed\fr\2016\couples_RURO_ready_jobdraws.parquet","U:\EUROMOD-STORAGE\Data\processed\fr\2016\couples_RURO_ready_jobdraws.parquet","couples_RURO_ready_jobdraws.parquet",".parquet","16543814","04-02-26 20:28:01"
"U:\EUROMOD-STORAGE","Data\processed\fr\2016\couples_RURO_ready_jobdraws__drawsmeta.json","U:\EUROMOD-STORAGE\Data\processed\fr\2016\couples_RURO_ready_jobdraws__drawsmeta.json","couples_RURO_ready_jobdraws__drawsmeta.json",".json","11757","04-02-26 20:28:01"
"U:\EUROMOD-STORAGE","Data\processed\fr\2016\couples_RURO_ready_RURO_draws.parquet","U:\EUROMOD-STORAGE\Data\processed\fr\2016\couples_RURO_ready_RURO_draws.parquet","couples_RURO_ready_RURO_draws.parquet",".parquet","35489416","05-02-26 14:00:57"
"U:\EUROMOD-STORAGE","Data\processed\fr\2016\couples_RURO_ready_RURO_draws__drawsmeta.json","U:\EUROMOD-STORAGE\Data\processed\fr\2016\couples_RURO_ready_RURO_draws__drawsmeta.json","couples_RURO_ready_RURO_draws__drawsmeta.json",".json","11595","05-02-26 14:00:57"
"U:\EUROMOD-STORAGE","Data\processed\fr\2016\fr_2016.parquet","U:\EUROMOD-STORAGE\Data\processed\fr\2016\fr_2016.parquet","fr_2016.parquet",".parquet","9110164","05-02-26 14:00:07"
"U:\EUROMOD-STORAGE","Data\processed\fr\2016\fr_2016__colgroups.json","U:\EUROMOD-STORAGE\Data\processed\fr\2016\fr_2016__colgroups.json","fr_2016__colgroups.json",".json","16110","05-02-26 14:00:13"
"U:\EUROMOD-STORAGE","Data\processed\fr\2016\fr_2016_couples.parquet","U:\EUROMOD-STORAGE\Data\processed\fr\2016\fr_2016_couples.parquet","fr_2016_couples.parquet",".parquet","6958700","05-02-26 14:00:10"
"U:\EUROMOD-STORAGE","Data\processed\fr\2016\fr_2016_RURO_mnl___combined.parquet","U:\EUROMOD-STORAGE\Data\processed\fr\2016\fr_2016_RURO_mnl___combined.parquet","fr_2016_RURO_mnl___combined.parquet",".parquet","466041152","08-01-26 02:32:19"
"U:\EUROMOD-STORAGE","Data\processed\fr\2016\fr_2016_RURO_mnl___couples.parquet","U:\EUROMOD-STORAGE\Data\processed\fr\2016\fr_2016_RURO_mnl___couples.parquet","fr_2016_RURO_mnl___couples.parquet",".parquet","332796367","18-01-26 10:53:58"
