"Root","Folder","FullName","FileCount","SizeBytes","Size","LastWriteTime"
"U:\EUROMOD-STORAGE\reports","gamspy","U:\EUROMOD-STORAGE\reports\gamspy","108","2833991","2,70 MB","24-11-25 16:57:09"
"U:\EUROMOD-STORAGE\reports","mle_dcm","U:\EUROMOD-STORAGE\reports\mle_dcm","209","5006956","4,78 MB","21-11-25 18:27:07"
"Z:\Hisham\EUROMOD-STORAGE\reports","gamspy","Z:\Hisham\EUROMOD-STORAGE\reports\gamspy","108","2833991","2,70 MB","04-02-26 16:02:20"
"Z:\Hisham\EUROMOD-STORAGE\reports","mle_dcm","Z:\Hisham\EUROMOD-STORAGE\reports\mle_dcm","209","5006956","4,78 MB","04-02-26 16:02:22"
"Z:\Hisham\EUROMOD-STORAGE_1\reports","gamspy","Z:\Hisham\EUROMOD-STORAGE_1\reports\gamspy","108","2833991","2,70 MB","19-01-26 18:21:42"
"Z:\Hisham\EUROMOD-STORAGE_1\reports","mle_dcm","Z:\Hisham\EUROMOD-STORAGE_1\reports\mle_dcm","209","5006956","4,78 MB","19-01-26 18:21:44"
