"Root","RelativePath","FullName","FileCount","SizeBytes","LastWriteTime"
"U:\EUROMOD-STORAGE","old_Data_results\old_data\scenarios\DE_2014","U:\EUROMOD-STORAGE\old_Data_results\old_data\scenarios\DE_2014","23","24751481","07-11-25 11:57:08"
"U:\EUROMOD-STORAGE","old_Data_results\old_data\scenarios\DE_2014_2016_combined","U:\EUROMOD-STORAGE\old_Data_results\old_data\scenarios\DE_2014_2016_combined","4","4003878","07-11-25 12:54:17"
"U:\EUROMOD-STORAGE","old_Data_results\old_data\scenarios\DE_2014_2016_cpi2015","U:\EUROMOD-STORAGE\old_Data_results\old_data\scenarios\DE_2014_2016_cpi2015","3","4012153","07-11-25 12:58:13"
"U:\EUROMOD-STORAGE","old_Data_results\old_data\scenarios\DE_2015","U:\EUROMOD-STORAGE\old_Data_results\old_data\scenarios\DE_2015","23","25193588","07-11-25 11:58:05"
"U:\EUROMOD-STORAGE","old_Data_results\old_data\scenarios\DE_2016","U:\EUROMOD-STORAGE\old_Data_results\old_data\scenarios\DE_2016","23","25522988","07-11-25 11:59:02"
"U:\EUROMOD-STORAGE","old_Data_results\outputs","U:\EUROMOD-STORAGE\old_Data_results\outputs","87","2461615","22-10-25 12:19:18"
"U:\EUROMOD-STORAGE","old_Data_results\outputs\euromod_DE_demo","U:\EUROMOD-STORAGE\old_Data_results\outputs\euromod_DE_demo","1","1053524","22-10-25 12:19:15"
"U:\EUROMOD-STORAGE","old_Data_results\outputs\prep","U:\EUROMOD-STORAGE\old_Data_results\outputs\prep","85","1351760","22-10-25 12:19:16"
"U:\EUROMOD-STORAGE","old_Data_results\outputs\prep\plots","U:\EUROMOD-STORAGE\old_Data_results\outputs\prep\plots","81","1346892","22-10-25 12:19:18"
"U:\EUROMOD-STORAGE","old_Data_results\outputs\scenarios","U:\EUROMOD-STORAGE\old_Data_results\outputs\scenarios","0","0","13-10-25 19:38:49"
"U:\EUROMOD-STORAGE","old_Data_results\reports","U:\EUROMOD-STORAGE\old_Data_results\reports","62","864966","22-10-25 12:19:18"
"U:\EUROMOD-STORAGE","old_Data_results\reports\biogeme","U:\EUROMOD-STORAGE\old_Data_results\reports\biogeme","62","864966","22-10-25 12:19:20"
"U:\EUROMOD-STORAGE","old_Data_results\reports\biogeme\female","U:\EUROMOD-STORAGE\old_Data_results\reports\biogeme\female","12","197106","22-10-25 12:19:18"
"U:\EUROMOD-STORAGE","old_Data_results\reports\biogeme\female_ascsOFF","U:\EUROMOD-STORAGE\old_Data_results\reports\biogeme\female_ascsOFF","6","18709","22-10-25 12:19:18"
"U:\EUROMOD-STORAGE","old_Data_results\reports\biogeme\female_ascsON","U:\EUROMOD-STORAGE\old_Data_results\reports\biogeme\female_ascsON","12","219290","22-10-25 12:19:19"
"U:\EUROMOD-STORAGE","old_Data_results\reports\biogeme\male","U:\EUROMOD-STORAGE\old_Data_results\reports\biogeme\male","12","191058","22-10-25 12:19:19"
"U:\EUROMOD-STORAGE","old_Data_results\reports\biogeme\male_ascsOFF","U:\EUROMOD-STORAGE\old_Data_results\reports\biogeme\male_ascsOFF","6","18736","22-10-25 12:19:20"
"U:\EUROMOD-STORAGE","old_Data_results\reports\biogeme\male_ascsON","U:\EUROMOD-STORAGE\old_Data_results\reports\biogeme\male_ascsON","12","218381","22-10-25 12:19:20"
"U:\EUROMOD-STORAGE","outputs","U:\EUROMOD-STORAGE\outputs","68","3660549","29-11-25 17:59:28"
"U:\EUROMOD-STORAGE","outputs\euromod_DE_demo","U:\EUROMOD-STORAGE\outputs\euromod_DE_demo","1","1053524","20-10-25 13:58:18"
"U:\EUROMOD-STORAGE","outputs\prep","U:\EUROMOD-STORAGE\outputs\prep","65","2469288","17-12-25 10:58:44"
"U:\EUROMOD-STORAGE","outputs\prep\fr","U:\EUROMOD-STORAGE\outputs\prep\fr","65","2469288","17-12-25 10:58:44"
"U:\EUROMOD-STORAGE","outputs\prep\fr\2016","U:\EUROMOD-STORAGE\outputs\prep\fr\2016","65","2469288","21-12-25 22:12:30"
"U:\EUROMOD-STORAGE","outputs\prep\fr\2016\plots","U:\EUROMOD-STORAGE\outputs\prep\fr\2016\plots","60","2462278","18-01-26 22:21:31"
"U:\EUROMOD-STORAGE","outputs\prep\fr\2016\plots\plots","U:\EUROMOD-STORAGE\outputs\prep\fr\2016\plots\plots","30","1231139","18-01-26 22:17:47"
"U:\EUROMOD-STORAGE","outputs\scenarios","U:\EUROMOD-STORAGE\outputs\scenarios","0","0","13-10-25 19:38:49"
"U:\EUROMOD-STORAGE","reports","U:\EUROMOD-STORAGE\reports","317","7840947","07-12-25 01:19:59"
"U:\EUROMOD-STORAGE","reports\gamspy","U:\EUROMOD-STORAGE\reports\gamspy","108","2833991","24-11-25 16:57:09"
"U:\EUROMOD-STORAGE","reports\gamspy\boxcox","U:\EUROMOD-STORAGE\reports\gamspy\boxcox","108","2833991","26-11-25 17:21:06"
"U:\EUROMOD-STORAGE","reports\gamspy\boxcox\DE_2014_2016_panel","U:\EUROMOD-STORAGE\reports\gamspy\boxcox\DE_2014_2016_panel","85","2020714","26-11-25 15:33:10"
"U:\EUROMOD-STORAGE","reports\gamspy\boxcox\DE_2014_2016_panel\female_ascsOFF_q99","U:\EUROMOD-STORAGE\reports\gamspy\boxcox\DE_2014_2016_panel\female_ascsOFF_q99","14","312059","26-11-25 15:19:10"
"U:\EUROMOD-STORAGE","reports\gamspy\boxcox\DE_2014_2016_panel\female_ascsON_q99","U:\EUROMOD-STORAGE\reports\gamspy\boxcox\DE_2014_2016_panel\female_ascsON_q99","14","317785","26-11-25 15:21:16"
"U:\EUROMOD-STORAGE","reports\gamspy\boxcox\DE_2014_2016_panel\male_ascsOFF_q99","U:\EUROMOD-STORAGE\reports\gamspy\boxcox\DE_2014_2016_panel\male_ascsOFF_q99","14","285237","26-11-25 15:23:07"
"U:\EUROMOD-STORAGE","reports\gamspy\boxcox\DE_2014_2016_panel\male_ascsON_q99","U:\EUROMOD-STORAGE\reports\gamspy\boxcox\DE_2014_2016_panel\male_ascsON_q99","14","281419","26-11-25 15:25:00"
"U:\EUROMOD-STORAGE","reports\gamspy\boxcox\DE_2014_2016_panel\pooled_ascsOFF_q99","U:\EUROMOD-STORAGE\reports\gamspy\boxcox\DE_2014_2016_panel\pooled_ascsOFF_q99","15","414117","26-11-25 16:58:20"
"U:\EUROMOD-STORAGE","reports\gamspy\boxcox\DE_2014_2016_panel\pooled_ascsON_q99","U:\EUROMOD-STORAGE\reports\gamspy\boxcox\DE_2014_2016_panel\pooled_ascsON_q99","14","410097","26-11-25 15:33:48"
"U:\EUROMOD-STORAGE","reports\gamspy\boxcox\pooled_genderSplit","U:\EUROMOD-STORAGE\reports\gamspy\boxcox\pooled_genderSplit","23","813277","26-11-25 17:21:06"
"U:\EUROMOD-STORAGE","reports\gamspy\boxcox\pooled_genderSplit\pooled_ascsOFF_q99","U:\EUROMOD-STORAGE\reports\gamspy\boxcox\pooled_genderSplit\pooled_ascsOFF_q99","23","813277","26-11-25 17:21:46"
"U:\EUROMOD-STORAGE","reports\mle_dcm","U:\EUROMOD-STORAGE\reports\mle_dcm","209","5006956","21-11-25 18:27:07"
"U:\EUROMOD-STORAGE","reports\mle_dcm\boxcox","U:\EUROMOD-STORAGE\reports\mle_dcm\boxcox","209","5006956","26-11-25 11:21:47"
"U:\EUROMOD-STORAGE","reports\mle_dcm\boxcox\DE_2014_2016_panel","U:\EUROMOD-STORAGE\reports\mle_dcm\boxcox\DE_2014_2016_panel","130","3656828","26-11-25 12:26:20"
"U:\EUROMOD-STORAGE","reports\mle_dcm\boxcox\DE_2014_2016_panel\female_ascsOFF_q99","U:\EUROMOD-STORAGE\reports\mle_dcm\boxcox\DE_2014_2016_panel\female_ascsOFF_q99","14","312034","26-11-25 12:07:04"
"U:\EUROMOD-STORAGE","reports\mle_dcm\boxcox\DE_2014_2016_panel\female_ascsON_q99","U:\EUROMOD-STORAGE\reports\mle_dcm\boxcox\DE_2014_2016_panel\female_ascsON_q99","14","318148","26-11-25 12:13:01"
"U:\EUROMOD-STORAGE","reports\mle_dcm\boxcox\DE_2014_2016_panel\male_ascsOFF_q99","U:\EUROMOD-STORAGE\reports\mle_dcm\boxcox\DE_2014_2016_panel\male_ascsOFF_q99","14","285906","26-11-25 12:04:02"
"U:\EUROMOD-STORAGE","reports\mle_dcm\boxcox\DE_2014_2016_panel\male_ascsON_q99","U:\EUROMOD-STORAGE\reports\mle_dcm\boxcox\DE_2014_2016_panel\male_ascsON_q99","14","291645","26-11-25 12:09:42"
"U:\EUROMOD-STORAGE","reports\mle_dcm\boxcox\DE_2014_2016_panel\pooled_ascsOFF_q99","U:\EUROMOD-STORAGE\reports\mle_dcm\boxcox\DE_2014_2016_panel\pooled_ascsOFF_q99","14","404394","26-11-25 12:15:40"
"U:\EUROMOD-STORAGE","reports\mle_dcm\boxcox\DE_2014_2016_panel\pooled_ascsOFF_q99_split","U:\EUROMOD-STORAGE\reports\mle_dcm\boxcox\DE_2014_2016_panel\pooled_ascsOFF_q99_split","23","813826","26-11-25 11:48:12"
"U:\EUROMOD-STORAGE","reports\mle_dcm\boxcox\DE_2014_2016_panel\pooled_ascsON_q99","U:\EUROMOD-STORAGE\reports\mle_dcm\boxcox\DE_2014_2016_panel\pooled_ascsON_q99","23","808338","26-11-25 12:26:59"
