index,eigenvalue,regional_loading_share
0,0.1037326963880782,3.86822623511626e-06
1,0.2503009274108904,1.0689845688541313e-05
2,0.36197647484897216,9.228302443533997e-05
3,0.6669670533555323,0.0002830576253704021
4,0.7362538445516511,8.117230892631678e-05
5,1.0568667516660433,8.798374407697454e-05
6,1.2132376499043265,0.00030488438553860034
7,1.9824418430042647,0.8530407205661871
8,6.815012254279189,0.6481761325517869
9,13.66711945700193,0.9824906386334026
10,14.417164397823965,0.026135096084216797
11,15.800271407326735,0.9679829175161783
12,17.35585237849469,0.9533016799886349
13,18.557479828549777,0.9974915159458084
14,21.525953363315303,0.9237791136376049
15,23.670164646452942,0.953856665844365
16,25.820557902757752,0.2920947334808407
17,27.282394401783705,0.7135759776803131
18,30.55156005722656,0.025080148406136718
19,37.64187780740664,0.013605003456787411
20,38.50901625281649,0.01769516185856161
21,46.9768336115924,0.012272331065876226
22,51.550118629977845,0.9785782252845179
23,58.733921979051644,0.007749180837727218
24,103.23300023418548,9.586643519713662e-05
25,109.53492559778752,0.0034549482966434917
26,149.2117658201562,0.061725391255819224
27,165.2783568406152,0.026595519007180705
28,214.3875265215812,0.00697901582777368
29,306.8340850022054,0.0332072213920793
30,366.5411844128105,0.269101420538053
31,620.9140853064068,0.12586190009235507
32,638.5893034854051,0.09877135834031206
33,1316.5249160759772,0.006312598802294516
34,3869.892462905337,6.693724839796223e-05
35,14239.234568424752,1.2298780884744718e-05
36,42048.457934380494,4.6341983792791286e-05
