,beta_E_drgn2,beta_E_drgn3,beta_E_drgn4,beta_E_drgn5,beta_E_drgn6,beta_E_drgn7,beta_E_drgn8
beta_E_drgn2,7.09683802e-02,1.47711294e-02,1.43616872e-02,1.38849997e-02,1.39337260e-02,1.36640237e-02,1.42125460e-02
beta_E_drgn3,1.47711294e-02,1.01497539e-01,1.61317290e-02,1.31359345e-02,1.28238050e-02,1.14150307e-02,1.56406040e-02
beta_E_drgn4,1.43616872e-02,1.61317290e-02,1.68083277e-01,1.38616009e-02,1.38093857e-02,1.32308637e-02,1.47408592e-02
beta_E_drgn5,1.38849997e-02,1.31359345e-02,1.38616009e-02,7.40820425e-02,1.45054835e-02,1.46121148e-02,1.39055967e-02
beta_E_drgn6,1.39337260e-02,1.28238050e-02,1.38093857e-02,1.45054835e-02,1.07227438e-01,1.48763948e-02,1.38855280e-02
beta_E_drgn7,1.36640237e-02,1.14150307e-02,1.32308637e-02,1.46121148e-02,1.48763948e-02,9.71961371e-02,1.34614282e-02
beta_E_drgn8,1.42125460e-02,1.56406040e-02,1.47408592e-02,1.39055967e-02,1.38855280e-02,1.34614282e-02,7.80648160e-02
