Group,Hicksian (compensated),Marshallian (uncompensated),Participation (extensive),Intensive (conditional),θ_l,θ_c,β_l (at median X),β_c
Single Males,3.394,3.294,1.018,2.376,-2.394,-0.077,4.798,1.000
Single Females,3.113,3.013,0.934,2.179,-2.113,-0.077,8.135,1.000
Males in Couples,0.500,0.400,0.150,0.350,0.500,-0.077,0.000,1.000
Females in Couples,3.132,3.032,0.940,2.192,-2.132,-0.077,10.052,1.000
