name,se_model,se_robust,ratio_robust_model
beta_l0_sm,1.7824572228026443,2.5018306367603196,1.403585233213378
beta_l_age_sm,1.1307009563436157,1.1323814077899563,1.0014862032590603
theta_l_sm,0.35157457420621796,0.25351127299606907,0.72107396721860395
beta_l0_sf,2.5700150790235732,3.9579292673253108,1.5400412626485633
beta_l_age_sf,1.3050198921749279,1.0838741801762957,0.83054226734423653
beta_l_nkids_sf,1.5891487541867821,1.4885900730435013,0.93672166883160046
theta_l_sf,0.27402668866332885,0.30114398530448949,1.0989585969652655
theta_c_singles,0.045962725946775827,0.076834670631434385,1.6716734930040447
beta_E,0.36619568069957137,0.36151975213292603,0.98723106575775943
beta_h_pt1,0.16310166474112611,0.16725689657762691,1.0254763300123022
beta_h_pt2,0.17865909126167331,0.18622665358796944,1.0423575552346915
beta_h_ft,0.067272157687488246,0.07506685233913904,1.1158680636922771
beta_h_lh,0.11473207206227151,0.14075456815638301,1.2268110008506397
beta_E_gsur,0.2107346420164426,0.20441791001836224,0.97002518457507569
beta_E_drgn2,0.3112764494000016,0.31141683869804693,1.0004510116274967
beta_E_drgn3,0.36945432011803558,0.36308958963736232,0.98277261860508269
beta_E_drgn4,0.34546577145132884,0.35978886876329907,1.0414602501770227
beta_E_drgn5,0.3092248205263794,0.31728342413561311,1.0260606622570463
beta_E_drgn6,0.32696210288598604,0.33217597663309451,1.0159464161169975
beta_E_drgn7,0.33517346795153941,0.33612015204933698,1.0028244601327885
beta_E_drgn8,0.32308554400696365,0.32877764323388875,1.0176179322551255
beta_E_drgur,0.20146360349942291,0.20805761031007192,1.0327305115966909
beta_E_drgmd,0.23826332630544247,0.24325904958494873,1.0209672355245387
beta_occ_2_m,0.1469769533545697,0.15833104521807492,1.0772508315376113
beta_occ_3_m,0.18930163748792958,0.19896943730724259,1.0510708726432938
beta_occ_4_m,0.089722976482547706,0.094929616814745668,1.0580301784037529
beta_occ_2_f,0.11655519844461018,0.12327061646710581,1.0576157744322914
beta_occ_3_f,0.12898689789615153,0.1345962746597697,1.043487957731446
beta_occ_4_f,0.096335503551562077,0.099404310468438534,1.0318554095192323
beta_w0,0.043042467773863585,0.055830295362339334,1.2970979186337643
beta_w_educL,0.037040346854879933,0.042405592778946642,1.1448486955342823
beta_w_educH,0.0256599269138367,0.02763206283933543,1.0768566462453675
beta_w_pexp,0.083364755022565046,0.10069558324741684,1.2078915510536883
beta_w_pexp2,0.03904048791046269,0.04511173259466722,1.1555114961198387
sigma,0.0083723644447868412,0.015307540552474758,1.8283414026495457
