name,block,status,estimate,bound_value,bound_side,grad_negll,multiplier,se_model,se_robust,ratio_robust_model,z,p
beta_l0_sm,preference_singles_male_leisure,interior,4.7803989338634505,NA,NA,7.0797701656744039e-07,NA,1.7824572228026443,2.5018306367603196,1.403585233213378,1.9107604102465159,0.05603537752252055
beta_l_age_sm,preference_singles_male_leisure,interior,0.35987419841164681,NA,NA,-7.5970277033099443e-07,NA,1.1307009563436157,1.1323814077899563,1.0014862032590603,0.31780299105581866,0.7506343817095134
beta_l_age2_sm,preference_singles_male_leisure,active-bound,1,1.0,upper,-0.84455441617942206,0.8445544161794221,NA,NA,NA,NA,NA
theta_l_sm,preference_singles_male_leisure,interior,-2.340652291967503,NA,NA,-7.9954202573118138e-06,NA,0.35157457420621796,0.25351127299606907,0.721073967218604,-9.232931791572822,2.6332376748515947e-20
beta_l0_sf,preference_singles_female_leisure,interior,7.8120703634741764,NA,NA,1.1914491324815923e-05,NA,2.570015079023573,3.957929267325311,1.5400412626485633,1.9737771536158393,0.0484070877369322
beta_l_age_sf,preference_singles_female_leisure,interior,-0.83711925435109147,NA,NA,9.3205953110020445e-06,NA,1.3050198921749279,1.0838741801762957,0.8305422673442365,-0.7723398800910003,0.4399131512531378
beta_l_age2_sf,preference_singles_female_leisure,active-bound,1,1.0,upper,-1.4682021491125388,1.4682021491125388,NA,NA,NA,NA,NA
beta_l_nkids_sf,preference_singles_female_leisure,interior,1.877497143689336,NA,NA,1.9581445583394252e-05,NA,1.5891487541867821,1.4885900730435013,0.9367216688316005,1.2612586753656723,0.20721566474432995
theta_l_sf,preference_singles_female_leisure,interior,-1.9845879299336024,NA,NA,2.6573381958217013e-06,NA,0.27402668866332885,0.3011439853044895,1.0989585969652655,-6.590162934607401,4.3934415291553306e-11
theta_c_singles,preference_singles_consumption,interior,0.093458702481988204,NA,NA,2.0474789721447451e-06,NA,0.04596272594677583,0.07683467063143438,1.6716734930040447,1.2163610738997903,0.22384740553271476
beta_l0_m,preference_couples_male_leisure,pinned,9.9999999999999995e-07,NA,NA,0,NA,NA,NA,NA,NA,NA
beta_l_age_m,preference_couples_male_leisure,pinned,-0.067236897452355004,NA,NA,0,NA,NA,NA,NA,NA,NA
beta_l_age2_m,preference_couples_male_leisure,pinned,0.087750489184784897,NA,NA,0,NA,NA,NA,NA,NA,NA
beta_l0_f,preference_couples_female_leisure,pinned,10.052237044896549,NA,NA,0,NA,NA,NA,NA,NA,NA
beta_l_age_f,preference_couples_female_leisure,pinned,-1.780253386288037,NA,NA,0,NA,NA,NA,NA,NA,NA
beta_l_age2_f,preference_couples_female_leisure,pinned,1,NA,NA,0,NA,NA,NA,NA,NA,NA
beta_l_nkids_f,preference_couples_female_leisure,pinned,0.58571985010558414,NA,NA,0,NA,NA,NA,NA,NA,NA
theta_l_f,preference_couples_female_leisure,pinned,-2.131739110508045,NA,NA,0,NA,NA,NA,NA,NA,NA
