sheet,variable,label,description,monetary_variable,applicable_observations,weighted_number,weighted_mean,weighted_sd,min,max
expenditure shares,xs09422,"EXPENDITURE SHARE: Museums, zoological gardens and the like","09422 : 09 Recreation and culture - 4 Recreational and cultural services - 2 Cultural services - 2 Museums, zoological gardens and the like",0,7482,63155144.39457703,0.0005130729241032372,0.0029270987800116286,0,0.025050239637494087
expenditure shares,xs09423,EXPENDITURE SHARE: Television and radio taxes and hire of equipment,09423 : 09 Recreation and culture - 4 Recreational and cultural services - 2 Cultural services - 3 Television and radio taxes and hire of equipment,0,7482,63155144.39457703,0.00578949524110758,0.006329471761890844,0,0.05099589750170708
expenditure shares,xs09424,EXPENDITURE SHARE: Other services,09424 : 09 Recreation and culture - 4 Recreational and cultural services - 2 Cultural services - 4 Other services,0,7482,63155144.39457703,0.00046990154641441046,0.00400860890425479,0,0.194353386759758
expenditure shares,xs09511,EXPENDITURE SHARE: Books,"09511 : 09 Recreation and culture - 5 Newspapers, books and stationery - 1 Books - 1 Books",0,7482,63155144.39457703,0.002565340061246077,0.006196938870050872,0,0.11760899424552917
expenditure shares,xs09521,EXPENDITURE SHARE: Newspapers and periodicals,"09521 : 09 Recreation and culture - 5 Newspapers, books and stationery - 2 Newspapers and periodicals - 1 Newspapers and periodicals",0,7482,63155144.39457703,0.0025340391434477494,0.006229591375886191,0,0.07052256911993027
expenditure shares,xs09531,EXPENDITURE SHARE: Miscellaneous printed matter,"09531 : 09 Recreation and culture - 5 Newspapers, books and stationery - 3 Miscellaneous printed matter - 1 Miscellaneous printed matter",0,7482,63155144.39457703,0.00026032748338291944,0.0014743469409008274,0,0.020342011004686356
expenditure shares,xs09541,EXPENDITURE SHARE: Stationery and drawing materials,"09541 : 09 Recreation and culture - 5 Newspapers, books and stationery - 4 Stationery and drawing materials - 1 Stationery and drawing materials",0,7482,63155144.39457703,0.001320979259017023,0.0074171722587917455,0,0.08747074007987976
expenditure shares,xs09611,EXPENDITURE SHARE: Package holidays,096 : 09 Recreation and culture - 6 Package holidays - - Package holidays,0,7482,63155144.39457703,0,0,0,0
expenditure shares,xs10111,EXPENDITURE SHARE: Pre primary and primary education,10111 : 10 Education - 1 Pre primary and primary education - 1 Pre primary and primary education - 1 Pre primary and primary education,0,7482,63155144.39457703,0.0004292136608717115,0.0021064568653897365,0,0.03268604725599289
expenditure shares,xs10211,EXPENDITURE SHARE: Secondary education,10211 : 10 Education - 2 Secondary education - 1 Secondary education - 1 Secondary education,0,7482,63155144.39457703,0.0003774129968237459,0.0023625004057758804,0,0.03481088951230049
expenditure shares,xs10311,EXPENDITURE SHARE: rtiary education - 1 Post-secondary non-tertiary education - 1 Post-secondary non-tertiary education,10311 : 10 Education - 3 Post-secondary non-tertiary education - 1 Post-secondary non-tertiary education - 1 Post-secondary non-tertiary education,0,7482,63155144.39457703,0,0,0,0
expenditure shares,xs10411,EXPENDITURE SHARE: Tertiary education,10411 : 10 Education - 4 Tertiary education - 1 Tertiary education - 1 Tertiary education,0,7482,63155144.39457703,0.001747062498404376,0.009933570168038872,0,0.17968396842479706
expenditure shares,xs10511,EXPENDITURE SHARE: Education not definable by level,10511 : 10 Education - 5 Education not definable by level - 1 Education not definable by level - 1 Education not definable by level,0,7482,63155144.39457703,0.0007850115939965895,0.004374979833539526,0,0.07690437138080597
expenditure shares,xs11111,EXPENDITURE SHARE: Restaurants,"11111 : 11 Restaurants and hotels - 1 Catering services - 1 Restaurants, cafés and the like(S) - 1 Restaurants",0,7482,63155144.39457703,0.021732198613982172,0.03800727949424091,0,0.525930643081665
expenditure shares,xs11112,"EXPENDITURE SHARE: Cafés, bars and the like","11112 : 11 Restaurants and hotels - 1 Catering services - 1 Restaurants, cafés and the like(S) - 2 Cafés, bars and the like",0,7482,63155144.39457703,0.007475803332427426,0.014289978704976157,0,0.2323434203863144
expenditure shares,xs11121,EXPENDITURE SHARE: Canteens,11121 : 11 Restaurants and hotels - 1 Catering services - 2 Canteens - 1 Canteens,0,7482,63155144.39457703,0.008467064720543382,0.016205756729982142,0,0.11723768711090088
