year,region_code,region_name,gsur,education,sex,age_group,sheet
2007,FR,France,19.5,TOTAL,T,Y15-24,Sheet 1
2008,FR,France,19.1,TOTAL,T,Y15-24,Sheet 1
2009,FR,France,23.7,TOTAL,T,Y15-24,Sheet 1
2010,FR,France,23.5,TOTAL,T,Y15-24,Sheet 1
2011,FR,France,22.9,TOTAL,T,Y15-24,Sheet 1
2012,FR,France,24.5,TOTAL,T,Y15-24,Sheet 1
2013,FR,France,25.1,TOTAL,T,Y15-24,Sheet 1
2014,FR,France,24.3,TOTAL,T,Y15-24,Sheet 1
2015,FR,France,24.8,TOTAL,T,Y15-24,Sheet 1
2016,FR,France,24.6,TOTAL,T,Y15-24,Sheet 1
2017,FR,France,22.2,TOTAL,T,Y15-24,Sheet 1
2018,FR,France,20.9,TOTAL,T,Y15-24,Sheet 1
2019,FR,France,19.6,TOTAL,T,Y15-24,Sheet 1
2020,FR,France,20.2,TOTAL,T,Y15-24,Sheet 1
2021,FR,France,18.9,TOTAL,T,Y15-24,Sheet 1
2022,FR,France,17.3,TOTAL,T,Y15-24,Sheet 1
2023,FR,France,17.2,TOTAL,T,Y15-24,Sheet 1
2024,FR,France,18.7,TOTAL,T,Y15-24,Sheet 1
2007,FR1,Ile de France,17.8,TOTAL,T,Y15-24,Sheet 1
2008,FR1,Ile de France,18.6,TOTAL,T,Y15-24,Sheet 1
2009,FR1,Ile de France,19.8,TOTAL,T,Y15-24,Sheet 1
2010,FR1,Ile de France,21.2,TOTAL,T,Y15-24,Sheet 1
2011,FR1,Ile de France,19.1,TOTAL,T,Y15-24,Sheet 1
2012,FR1,Ile de France,19.4,TOTAL,T,Y15-24,Sheet 1
2013,FR1,Ile de France,18.5,TOTAL,T,Y15-24,Sheet 1
2014,FR1,Ile de France,21.3,TOTAL,T,Y15-24,Sheet 1
2015,FR1,Ile de France,23.1,TOTAL,T,Y15-24,Sheet 1
2016,FR1,Ile de France,22.5,TOTAL,T,Y15-24,Sheet 1
2017,FR1,Ile de France,21.9,TOTAL,T,Y15-24,Sheet 1
2018,FR1,Ile de France,19.3,TOTAL,T,Y15-24,Sheet 1
2019,FR1,Ile de France,18.2,TOTAL,T,Y15-24,Sheet 1
2020,FR1,Ile de France,18.8,TOTAL,T,Y15-24,Sheet 1
2021,FR1,Ile de France,20.4,TOTAL,T,Y15-24,Sheet 1
2022,FR1,Ile de France,17.3,TOTAL,T,Y15-24,Sheet 1
2023,FR1,Ile de France,16.1,TOTAL,T,Y15-24,Sheet 1
2024,FR1,Ile de France,18.5,TOTAL,T,Y15-24,Sheet 1
2007,FR10,Ile de France,17.8,TOTAL,T,Y15-24,Sheet 1
2008,FR10,Ile de France,18.6,TOTAL,T,Y15-24,Sheet 1
2009,FR10,Ile de France,19.8,TOTAL,T,Y15-24,Sheet 1
2010,FR10,Ile de France,21.2,TOTAL,T,Y15-24,Sheet 1
2011,FR10,Ile de France,19.1,TOTAL,T,Y15-24,Sheet 1
2012,FR10,Ile de France,19.4,TOTAL,T,Y15-24,Sheet 1
2013,FR10,Ile de France,18.5,TOTAL,T,Y15-24,Sheet 1
2014,FR10,Ile de France,21.3,TOTAL,T,Y15-24,Sheet 1
2015,FR10,Ile de France,23.1,TOTAL,T,Y15-24,Sheet 1
2016,FR10,Ile de France,22.5,TOTAL,T,Y15-24,Sheet 1
2017,FR10,Ile de France,21.9,TOTAL,T,Y15-24,Sheet 1
2018,FR10,Ile de France,19.3,TOTAL,T,Y15-24,Sheet 1
2019,FR10,Ile de France,18.2,TOTAL,T,Y15-24,Sheet 1
2020,FR10,Ile de France,18.8,TOTAL,T,Y15-24,Sheet 1
2021,FR10,Ile de France,20.4,TOTAL,T,Y15-24,Sheet 1
2022,FR10,Ile de France,17.3,TOTAL,T,Y15-24,Sheet 1
2023,FR10,Ile de France,16.1,TOTAL,T,Y15-24,Sheet 1
2024,FR10,Ile de France,18.5,TOTAL,T,Y15-24,Sheet 1
2007,FRB,Centre — Val de Loire,15.5,TOTAL,T,Y15-24,Sheet 1
2008,FRB,Centre — Val de Loire,14.5,TOTAL,T,Y15-24,Sheet 1
2009,FRB,Centre — Val de Loire,18.9,TOTAL,T,Y15-24,Sheet 1
2010,FRB,Centre — Val de Loire,16.2,TOTAL,T,Y15-24,Sheet 1
2011,FRB,Centre — Val de Loire,20.2,TOTAL,T,Y15-24,Sheet 1
2012,FRB,Centre — Val de Loire,28.9,TOTAL,T,Y15-24,Sheet 1
2013,FRB,Centre — Val de Loire,22.1,TOTAL,T,Y15-24,Sheet 1
2014,FRB,Centre — Val de Loire,21.3,TOTAL,T,Y15-24,Sheet 1
2015,FRB,Centre — Val de Loire,24.3,TOTAL,T,Y15-24,Sheet 1
2016,FRB,Centre — Val de Loire,25.6,TOTAL,T,Y15-24,Sheet 1
2017,FRB,Centre — Val de Loire,23.1,TOTAL,T,Y15-24,Sheet 1
2018,FRB,Centre — Val de Loire,21.5,TOTAL,T,Y15-24,Sheet 1
2019,FRB,Centre — Val de Loire,21.3,TOTAL,T,Y15-24,Sheet 1
2020,FRB,Centre — Val de Loire,19.6,TOTAL,T,Y15-24,Sheet 1
2021,FRB,Centre — Val de Loire,18.6,TOTAL,T,Y15-24,Sheet 1
2022,FRB,Centre — Val de Loire,14.4,TOTAL,T,Y15-24,Sheet 1
2023,FRB,Centre — Val de Loire,15.6,TOTAL,T,Y15-24,Sheet 1
2024,FRB,Centre — Val de Loire,18.0,TOTAL,T,Y15-24,Sheet 1
2007,FRB0,Centre — Val de Loire,15.5,TOTAL,T,Y15-24,Sheet 1
2008,FRB0,Centre — Val de Loire,14.5,TOTAL,T,Y15-24,Sheet 1
2009,FRB0,Centre — Val de Loire,18.9,TOTAL,T,Y15-24,Sheet 1
2010,FRB0,Centre — Val de Loire,16.2,TOTAL,T,Y15-24,Sheet 1
2011,FRB0,Centre — Val de Loire,20.2,TOTAL,T,Y15-24,Sheet 1
2012,FRB0,Centre — Val de Loire,28.9,TOTAL,T,Y15-24,Sheet 1
2013,FRB0,Centre — Val de Loire,22.1,TOTAL,T,Y15-24,Sheet 1
2014,FRB0,Centre — Val de Loire,21.3,TOTAL,T,Y15-24,Sheet 1
2015,FRB0,Centre — Val de Loire,24.3,TOTAL,T,Y15-24,Sheet 1
2016,FRB0,Centre — Val de Loire,25.6,TOTAL,T,Y15-24,Sheet 1
2017,FRB0,Centre — Val de Loire,23.1,TOTAL,T,Y15-24,Sheet 1
2018,FRB0,Centre — Val de Loire,21.5,TOTAL,T,Y15-24,Sheet 1
2019,FRB0,Centre — Val de Loire,21.3,TOTAL,T,Y15-24,Sheet 1
2020,FRB0,Centre — Val de Loire,19.6,TOTAL,T,Y15-24,Sheet 1
2021,FRB0,Centre — Val de Loire,18.6,TOTAL,T,Y15-24,Sheet 1
2022,FRB0,Centre — Val de Loire,14.4,TOTAL,T,Y15-24,Sheet 1
2023,FRB0,Centre — Val de Loire,15.6,TOTAL,T,Y15-24,Sheet 1
2024,FRB0,Centre — Val de Loire,18.0,TOTAL,T,Y15-24,Sheet 1
2007,FRC,Bourgogne-Franche-Comté,16.9,TOTAL,T,Y15-24,Sheet 1
2008,FRC,Bourgogne-Franche-Comté,18.7,TOTAL,T,Y15-24,Sheet 1
2009,FRC,Bourgogne-Franche-Comté,23.4,TOTAL,T,Y15-24,Sheet 1
2010,FRC,Bourgogne-Franche-Comté,21.8,TOTAL,T,Y15-24,Sheet 1
2011,FRC,Bourgogne-Franche-Comté,21.4,TOTAL,T,Y15-24,Sheet 1
2012,FRC,Bourgogne-Franche-Comté,22.4,TOTAL,T,Y15-24,Sheet 1
2013,FRC,Bourgogne-Franche-Comté,27.0,TOTAL,T,Y15-24,Sheet 1
2014,FRC,Bourgogne-Franche-Comté,22.8,TOTAL,T,Y15-24,Sheet 1
2015,FRC,Bourgogne-Franche-Comté,23.2,TOTAL,T,Y15-24,Sheet 1
2016,FRC,Bourgogne-Franche-Comté,24.2,TOTAL,T,Y15-24,Sheet 1
2017,FRC,Bourgogne-Franche-Comté,23.1,TOTAL,T,Y15-24,Sheet 1
2018,FRC,Bourgogne-Franche-Comté,20.3,TOTAL,T,Y15-24,Sheet 1
2019,FRC,Bourgogne-Franche-Comté,18.0,TOTAL,T,Y15-24,Sheet 1
2020,FRC,Bourgogne-Franche-Comté,18.9,TOTAL,T,Y15-24,Sheet 1
2021,FRC,Bourgogne-Franche-Comté,15.2,TOTAL,T,Y15-24,Sheet 1
2022,FRC,Bourgogne-Franche-Comté,15.6,TOTAL,T,Y15-24,Sheet 1
2023,FRC,Bourgogne-Franche-Comté,14.7,TOTAL,T,Y15-24,Sheet 1
2024,FRC,Bourgogne-Franche-Comté,15.0,TOTAL,T,Y15-24,Sheet 1
2007,FRC1,Bourgogne,15.9,TOTAL,T,Y15-24,Sheet 1
2008,FRC1,Bourgogne,18.4,TOTAL,T,Y15-24,Sheet 1
2009,FRC1,Bourgogne,26.9,TOTAL,T,Y15-24,Sheet 1
2010,FRC1,Bourgogne,22.6,TOTAL,T,Y15-24,Sheet 1
2011,FRC1,Bourgogne,23.3,TOTAL,T,Y15-24,Sheet 1
2012,FRC1,Bourgogne,23.6,TOTAL,T,Y15-24,Sheet 1
2013,FRC1,Bourgogne,30.3,TOTAL,T,Y15-24,Sheet 1
2014,FRC1,Bourgogne,23.9,TOTAL,T,Y15-24,Sheet 1
2015,FRC1,Bourgogne,22.4,TOTAL,T,Y15-24,Sheet 1
2016,FRC1,Bourgogne,25.6,TOTAL,T,Y15-24,Sheet 1
2017,FRC1,Bourgogne,23.8,TOTAL,T,Y15-24,Sheet 1
2018,FRC1,Bourgogne,20.7,TOTAL,T,Y15-24,Sheet 1
2019,FRC1,Bourgogne,18.6,TOTAL,T,Y15-24,Sheet 1
2020,FRC1,Bourgogne,22.5,TOTAL,T,Y15-24,Sheet 1
2021,FRC1,Bourgogne,14.6,TOTAL,T,Y15-24,Sheet 1
2022,FRC1,Bourgogne,18.5,TOTAL,T,Y15-24,Sheet 1
2023,FRC1,Bourgogne,15.2,TOTAL,T,Y15-24,Sheet 1
2024,FRC1,Bourgogne,17.7,TOTAL,T,Y15-24,Sheet 1
2007,FRC2,Franche-Comté,18.2,TOTAL,T,Y15-24,Sheet 1
2008,FRC2,Franche-Comté,18.9,TOTAL,T,Y15-24,Sheet 1
2009,FRC2,Franche-Comté,19.8,TOTAL,T,Y15-24,Sheet 1
2010,FRC2,Franche-Comté,20.8,TOTAL,T,Y15-24,Sheet 1
2011,FRC2,Franche-Comté,18.5,TOTAL,T,Y15-24,Sheet 1
2012,FRC2,Franche-Comté,20.8,TOTAL,T,Y15-24,Sheet 1
2013,FRC2,Franche-Comté,22.5,TOTAL,T,Y15-24,Sheet 1
2014,FRC2,Franche-Comté,21.1,TOTAL,T,Y15-24,Sheet 1
2015,FRC2,Franche-Comté,24.3,TOTAL,T,Y15-24,Sheet 1
2016,FRC2,Franche-Comté,22.3,TOTAL,T,Y15-24,Sheet 1
2017,FRC2,Franche-Comté,21.9,TOTAL,T,Y15-24,Sheet 1
2018,FRC2,Franche-Comté,19.6,TOTAL,T,Y15-24,Sheet 1
2019,FRC2,Franche-Comté,17.2,TOTAL,T,Y15-24,Sheet 1
2020,FRC2,Franche-Comté,15.0,TOTAL,T,Y15-24,Sheet 1
2021,FRC2,Franche-Comté,16.0,TOTAL,T,Y15-24,Sheet 1
2022,FRC2,Franche-Comté,12.1,TOTAL,T,Y15-24,Sheet 1
2023,FRC2,Franche-Comté,14.0,TOTAL,T,Y15-24,Sheet 1
2024,FRC2,Franche-Comté,11.9,TOTAL,T,Y15-24,Sheet 1
2007,FRD,Normandie,20.1,TOTAL,T,Y15-24,Sheet 1
2008,FRD,Normandie,19.8,TOTAL,T,Y15-24,Sheet 1
2009,FRD,Normandie,23.1,TOTAL,T,Y15-24,Sheet 1
2010,FRD,Normandie,24.8,TOTAL,T,Y15-24,Sheet 1
2011,FRD,Normandie,22.9,TOTAL,T,Y15-24,Sheet 1
2012,FRD,Normandie,24.3,TOTAL,T,Y15-24,Sheet 1
2013,FRD,Normandie,28.7,TOTAL,T,Y15-24,Sheet 1
2014,FRD,Normandie,23.7,TOTAL,T,Y15-24,Sheet 1
2015,FRD,Normandie,21.6,TOTAL,T,Y15-24,Sheet 1
2016,FRD,Normandie,25.7,TOTAL,T,Y15-24,Sheet 1
2017,FRD,Normandie,22.1,TOTAL,T,Y15-24,Sheet 1
2018,FRD,Normandie,19.2,TOTAL,T,Y15-24,Sheet 1
2019,FRD,Normandie,19.5,TOTAL,T,Y15-24,Sheet 1
2020,FRD,Normandie,19.5,TOTAL,T,Y15-24,Sheet 1
2021,FRD,Normandie,16.5,TOTAL,T,Y15-24,Sheet 1
2022,FRD,Normandie,19.9,TOTAL,T,Y15-24,Sheet 1
2023,FRD,Normandie,15.5,TOTAL,T,Y15-24,Sheet 1
2024,FRD,Normandie,17.8,TOTAL,T,Y15-24,Sheet 1
2007,FRD1,Basse-Normandie,15.0,TOTAL,T,Y15-24,Sheet 1
2008,FRD1,Basse-Normandie,16.4,TOTAL,T,Y15-24,Sheet 1
2009,FRD1,Basse-Normandie,21.6,TOTAL,T,Y15-24,Sheet 1
2010,FRD1,Basse-Normandie,19.9,TOTAL,T,Y15-24,Sheet 1
2011,FRD1,Basse-Normandie,24.0,TOTAL,T,Y15-24,Sheet 1
2012,FRD1,Basse-Normandie,21.3,TOTAL,T,Y15-24,Sheet 1
2013,FRD1,Basse-Normandie,25.9,TOTAL,T,Y15-24,Sheet 1
2014,FRD1,Basse-Normandie,21.1,TOTAL,T,Y15-24,Sheet 1
2015,FRD1,Basse-Normandie,18.5,TOTAL,T,Y15-24,Sheet 1
2016,FRD1,Basse-Normandie,21.9,TOTAL,T,Y15-24,Sheet 1
2017,FRD1,Basse-Normandie,20.4,TOTAL,T,Y15-24,Sheet 1
2018,FRD1,Basse-Normandie,16.6,TOTAL,T,Y15-24,Sheet 1
2019,FRD1,Basse-Normandie,15.1,TOTAL,T,Y15-24,Sheet 1
2020,FRD1,Basse-Normandie,17.8,TOTAL,T,Y15-24,Sheet 1
2021,FRD1,Basse-Normandie,12.8,TOTAL,T,Y15-24,Sheet 1
2022,FRD1,Basse-Normandie,16.3,TOTAL,T,Y15-24,Sheet 1
2023,FRD1,Basse-Normandie,15.9,TOTAL,T,Y15-24,Sheet 1
2024,FRD1,Basse-Normandie,18.9,TOTAL,T,Y15-24,Sheet 1
2007,FRD2,Haute-Normandie,22.8,TOTAL,T,Y15-24,Sheet 1
2008,FRD2,Haute-Normandie,22.1,TOTAL,T,Y15-24,Sheet 1
2009,FRD2,Haute-Normandie,23.9,TOTAL,T,Y15-24,Sheet 1
2010,FRD2,Haute-Normandie,28.9,TOTAL,T,Y15-24,Sheet 1
2011,FRD2,Haute-Normandie,22.0,TOTAL,T,Y15-24,Sheet 1
2012,FRD2,Haute-Normandie,26.7,TOTAL,T,Y15-24,Sheet 1
2013,FRD2,Haute-Normandie,30.9,TOTAL,T,Y15-24,Sheet 1
2014,FRD2,Haute-Normandie,25.8,TOTAL,T,Y15-24,Sheet 1
2015,FRD2,Haute-Normandie,23.9,TOTAL,T,Y15-24,Sheet 1
2016,FRD2,Haute-Normandie,28.2,TOTAL,T,Y15-24,Sheet 1
2017,FRD2,Haute-Normandie,23.7,TOTAL,T,Y15-24,Sheet 1
2018,FRD2,Haute-Normandie,21.7,TOTAL,T,Y15-24,Sheet 1
2019,FRD2,Haute-Normandie,23.2,TOTAL,T,Y15-24,Sheet 1
2020,FRD2,Haute-Normandie,20.8,TOTAL,T,Y15-24,Sheet 1
2021,FRD2,Haute-Normandie,19.3,TOTAL,T,Y15-24,Sheet 1
2022,FRD2,Haute-Normandie,22.7,TOTAL,T,Y15-24,Sheet 1
2023,FRD2,Haute-Normandie,15.2,TOTAL,T,Y15-24,Sheet 1
2024,FRD2,Haute-Normandie,17.0,TOTAL,T,Y15-24,Sheet 1
2007,FRE,Hauts-de-France,26.4,TOTAL,T,Y15-24,Sheet 1
2008,FRE,Hauts-de-France,24.2,TOTAL,T,Y15-24,Sheet 1
2009,FRE,Hauts-de-France,34.2,TOTAL,T,Y15-24,Sheet 1
2010,FRE,Hauts-de-France,29.5,TOTAL,T,Y15-24,Sheet 1
2011,FRE,Hauts-de-France,28.4,TOTAL,T,Y15-24,Sheet 1
2012,FRE,Hauts-de-France,32.9,TOTAL,T,Y15-24,Sheet 1
2013,FRE,Hauts-de-France,33.3,TOTAL,T,Y15-24,Sheet 1
2014,FRE,Hauts-de-France,28.5,TOTAL,T,Y15-24,Sheet 1
2015,FRE,Hauts-de-France,27.6,TOTAL,T,Y15-24,Sheet 1
2016,FRE,Hauts-de-France,29.3,TOTAL,T,Y15-24,Sheet 1
2017,FRE,Hauts-de-France,27.4,TOTAL,T,Y15-24,Sheet 1
2018,FRE,Hauts-de-France,27.6,TOTAL,T,Y15-24,Sheet 1
2019,FRE,Hauts-de-France,24.2,TOTAL,T,Y15-24,Sheet 1
2020,FRE,Hauts-de-France,22.4,TOTAL,T,Y15-24,Sheet 1
2021,FRE,Hauts-de-France,22.5,TOTAL,T,Y15-24,Sheet 1
2022,FRE,Hauts-de-France,19.6,TOTAL,T,Y15-24,Sheet 1
2023,FRE,Hauts-de-France,22.7,TOTAL,T,Y15-24,Sheet 1
2024,FRE,Hauts-de-France,23.2,TOTAL,T,Y15-24,Sheet 1
2007,FRE1,Nord-Pas de Calais,28.3,TOTAL,T,Y15-24,Sheet 1
2008,FRE1,Nord-Pas de Calais,27.5,TOTAL,T,Y15-24,Sheet 1
2009,FRE1,Nord-Pas de Calais,36.7,TOTAL,T,Y15-24,Sheet 1
2010,FRE1,Nord-Pas de Calais,30.1,TOTAL,T,Y15-24,Sheet 1
2011,FRE1,Nord-Pas de Calais,30.6,TOTAL,T,Y15-24,Sheet 1
2012,FRE1,Nord-Pas de Calais,34.8,TOTAL,T,Y15-24,Sheet 1
2013,FRE1,Nord-Pas de Calais,34.9,TOTAL,T,Y15-24,Sheet 1
2014,FRE1,Nord-Pas de Calais,29.0,TOTAL,T,Y15-24,Sheet 1
2015,FRE1,Nord-Pas de Calais,30.3,TOTAL,T,Y15-24,Sheet 1
2016,FRE1,Nord-Pas de Calais,30.5,TOTAL,T,Y15-24,Sheet 1
2017,FRE1,Nord-Pas de Calais,28.2,TOTAL,T,Y15-24,Sheet 1
2018,FRE1,Nord-Pas de Calais,27.3,TOTAL,T,Y15-24,Sheet 1
2019,FRE1,Nord-Pas de Calais,27.4,TOTAL,T,Y15-24,Sheet 1
2020,FRE1,Nord-Pas de Calais,25.2,TOTAL,T,Y15-24,Sheet 1
2021,FRE1,Nord-Pas de Calais,22.7,TOTAL,T,Y15-24,Sheet 1
2022,FRE1,Nord-Pas de Calais,18.2,TOTAL,T,Y15-24,Sheet 1
2023,FRE1,Nord-Pas de Calais,23.2,TOTAL,T,Y15-24,Sheet 1
2024,FRE1,Nord-Pas de Calais,24.5,TOTAL,T,Y15-24,Sheet 1
2007,FRE2,Picardie,22.9,TOTAL,T,Y15-24,Sheet 1
2008,FRE2,Picardie,17.8,TOTAL,T,Y15-24,Sheet 1
2009,FRE2,Picardie,28.4,TOTAL,T,Y15-24,Sheet 1
2010,FRE2,Picardie,28.2,TOTAL,T,Y15-24,Sheet 1
2011,FRE2,Picardie,23.5,TOTAL,T,Y15-24,Sheet 1
2012,FRE2,Picardie,28.1,TOTAL,T,Y15-24,Sheet 1
2013,FRE2,Picardie,29.3,TOTAL,T,Y15-24,Sheet 1
2014,FRE2,Picardie,27.5,TOTAL,T,Y15-24,Sheet 1
2015,FRE2,Picardie,22.7,TOTAL,T,Y15-24,Sheet 1
2016,FRE2,Picardie,26.8,TOTAL,T,Y15-24,Sheet 1
2017,FRE2,Picardie,25.3,TOTAL,T,Y15-24,Sheet 1
2018,FRE2,Picardie,28.5,TOTAL,T,Y15-24,Sheet 1
2019,FRE2,Picardie,18.1,TOTAL,T,Y15-24,Sheet 1
2020,FRE2,Picardie,16.9,TOTAL,T,Y15-24,Sheet 1
2021,FRE2,Picardie,21.8,TOTAL,T,Y15-24,Sheet 1
2022,FRE2,Picardie,22.5,TOTAL,T,Y15-24,Sheet 1
2023,FRE2,Picardie,21.8,TOTAL,T,Y15-24,Sheet 1
2024,FRE2,Picardie,20.1,TOTAL,T,Y15-24,Sheet 1
2007,FRF,Grand Est,17.5,TOTAL,T,Y15-24,Sheet 1
2008,FRF,Grand Est,16.9,TOTAL,T,Y15-24,Sheet 1
2009,FRF,Grand Est,23.3,TOTAL,T,Y15-24,Sheet 1
2010,FRF,Grand Est,22.4,TOTAL,T,Y15-24,Sheet 1
2011,FRF,Grand Est,22.5,TOTAL,T,Y15-24,Sheet 1
2012,FRF,Grand Est,24.1,TOTAL,T,Y15-24,Sheet 1
2013,FRF,Grand Est,28.4,TOTAL,T,Y15-24,Sheet 1
2014,FRF,Grand Est,25.2,TOTAL,T,Y15-24,Sheet 1
2015,FRF,Grand Est,28.6,TOTAL,T,Y15-24,Sheet 1
2016,FRF,Grand Est,27.1,TOTAL,T,Y15-24,Sheet 1
2017,FRF,Grand Est,22.9,TOTAL,T,Y15-24,Sheet 1
2018,FRF,Grand Est,20.4,TOTAL,T,Y15-24,Sheet 1
2019,FRF,Grand Est,17.8,TOTAL,T,Y15-24,Sheet 1
2020,FRF,Grand Est,20.1,TOTAL,T,Y15-24,Sheet 1
2021,FRF,Grand Est,18.8,TOTAL,T,Y15-24,Sheet 1
2022,FRF,Grand Est,14.4,TOTAL,T,Y15-24,Sheet 1
2023,FRF,Grand Est,16.4,TOTAL,T,Y15-24,Sheet 1
2024,FRF,Grand Est,20.5,TOTAL,T,Y15-24,Sheet 1
2007,FRF1,Alsace,16.4,TOTAL,T,Y15-24,Sheet 1
2008,FRF1,Alsace,13.8,TOTAL,T,Y15-24,Sheet 1
2009,FRF1,Alsace,20.1,TOTAL,T,Y15-24,Sheet 1
2010,FRF1,Alsace,18.4,TOTAL,T,Y15-24,Sheet 1
2011,FRF1,Alsace,21.4,TOTAL,T,Y15-24,Sheet 1
2012,FRF1,Alsace,22.9,TOTAL,T,Y15-24,Sheet 1
2013,FRF1,Alsace,28.4,TOTAL,T,Y15-24,Sheet 1
2014,FRF1,Alsace,25.0,TOTAL,T,Y15-24,Sheet 1
2015,FRF1,Alsace,27.2,TOTAL,T,Y15-24,Sheet 1
2016,FRF1,Alsace,28.8,TOTAL,T,Y15-24,Sheet 1
2017,FRF1,Alsace,22.4,TOTAL,T,Y15-24,Sheet 1
2018,FRF1,Alsace,18.4,TOTAL,T,Y15-24,Sheet 1
2019,FRF1,Alsace,15.2,TOTAL,T,Y15-24,Sheet 1
2020,FRF1,Alsace,16.8,TOTAL,T,Y15-24,Sheet 1
2021,FRF1,Alsace,17.3,TOTAL,T,Y15-24,Sheet 1
2022,FRF1,Alsace,12.4,TOTAL,T,Y15-24,Sheet 1
2023,FRF1,Alsace,15.0,TOTAL,T,Y15-24,Sheet 1
2024,FRF1,Alsace,13.9,TOTAL,T,Y15-24,Sheet 1
2007,FRF2,Champagne-Ardenne,20.7,TOTAL,T,Y15-24,Sheet 1
2008,FRF2,Champagne-Ardenne,19.2,TOTAL,T,Y15-24,Sheet 1
2009,FRF2,Champagne-Ardenne,20.3,TOTAL,T,Y15-24,Sheet 1
2010,FRF2,Champagne-Ardenne,24.5,TOTAL,T,Y15-24,Sheet 1
2011,FRF2,Champagne-Ardenne,26.6,TOTAL,T,Y15-24,Sheet 1
2012,FRF2,Champagne-Ardenne,25.4,TOTAL,T,Y15-24,Sheet 1
2013,FRF2,Champagne-Ardenne,30.4,TOTAL,T,Y15-24,Sheet 1
2014,FRF2,Champagne-Ardenne,25.0,TOTAL,T,Y15-24,Sheet 1
2015,FRF2,Champagne-Ardenne,30.3,TOTAL,T,Y15-24,Sheet 1
2016,FRF2,Champagne-Ardenne,29.0,TOTAL,T,Y15-24,Sheet 1
2017,FRF2,Champagne-Ardenne,25.2,TOTAL,T,Y15-24,Sheet 1
2018,FRF2,Champagne-Ardenne,17.7,TOTAL,T,Y15-24,Sheet 1
2019,FRF2,Champagne-Ardenne,21.9,TOTAL,T,Y15-24,Sheet 1
2020,FRF2,Champagne-Ardenne,27.7,TOTAL,T,Y15-24,Sheet 1
2021,FRF2,Champagne-Ardenne,17.4,TOTAL,T,Y15-24,Sheet 1
2022,FRF2,Champagne-Ardenne,15.9,TOTAL,T,Y15-24,Sheet 1
2023,FRF2,Champagne-Ardenne,17.0,TOTAL,T,Y15-24,Sheet 1
2024,FRF2,Champagne-Ardenne,22.2,TOTAL,T,Y15-24,Sheet 1
2007,FRF3,Lorraine,16.5,TOTAL,T,Y15-24,Sheet 1
2008,FRF3,Lorraine,18.3,TOTAL,T,Y15-24,Sheet 1
2009,FRF3,Lorraine,27.5,TOTAL,T,Y15-24,Sheet 1
2010,FRF3,Lorraine,24.3,TOTAL,T,Y15-24,Sheet 1
2011,FRF3,Lorraine,21.0,TOTAL,T,Y15-24,Sheet 1
2012,FRF3,Lorraine,24.4,TOTAL,T,Y15-24,Sheet 1
2013,FRF3,Lorraine,27.4,TOTAL,T,Y15-24,Sheet 1
2014,FRF3,Lorraine,25.6,TOTAL,T,Y15-24,Sheet 1
2015,FRF3,Lorraine,29.0,TOTAL,T,Y15-24,Sheet 1
2016,FRF3,Lorraine,24.9,TOTAL,T,Y15-24,Sheet 1
2017,FRF3,Lorraine,22.1,TOTAL,T,Y15-24,Sheet 1
2018,FRF3,Lorraine,23.6,TOTAL,T,Y15-24,Sheet 1
2019,FRF3,Lorraine,18.3,TOTAL,T,Y15-24,Sheet 1
2020,FRF3,Lorraine,17.8,TOTAL,T,Y15-24,Sheet 1
2021,FRF3,Lorraine,20.9,TOTAL,T,Y15-24,Sheet 1
2022,FRF3,Lorraine,15.4,TOTAL,T,Y15-24,Sheet 1
2023,FRF3,Lorraine,17.4,TOTAL,T,Y15-24,Sheet 1
2024,FRF3,Lorraine,26.3,TOTAL,T,Y15-24,Sheet 1
2007,FRG,Pays de la Loire,12.3,TOTAL,T,Y15-24,Sheet 1
2008,FRG,Pays de la Loire,16.0,TOTAL,T,Y15-24,Sheet 1
2009,FRG,Pays de la Loire,19.4,TOTAL,T,Y15-24,Sheet 1
2010,FRG,Pays de la Loire,18.2,TOTAL,T,Y15-24,Sheet 1
2011,FRG,Pays de la Loire,17.6,TOTAL,T,Y15-24,Sheet 1
2012,FRG,Pays de la Loire,22.2,TOTAL,T,Y15-24,Sheet 1
2013,FRG,Pays de la Loire,20.8,TOTAL,T,Y15-24,Sheet 1
2014,FRG,Pays de la Loire,21.3,TOTAL,T,Y15-24,Sheet 1
2015,FRG,Pays de la Loire,23.7,TOTAL,T,Y15-24,Sheet 1
2016,FRG,Pays de la Loire,21.7,TOTAL,T,Y15-24,Sheet 1
2017,FRG,Pays de la Loire,17.8,TOTAL,T,Y15-24,Sheet 1
2018,FRG,Pays de la Loire,16.5,TOTAL,T,Y15-24,Sheet 1
2019,FRG,Pays de la Loire,15.9,TOTAL,T,Y15-24,Sheet 1
2020,FRG,Pays de la Loire,18.0,TOTAL,T,Y15-24,Sheet 1
2021,FRG,Pays de la Loire,15.9,TOTAL,T,Y15-24,Sheet 1
2022,FRG,Pays de la Loire,13.9,TOTAL,T,Y15-24,Sheet 1
2023,FRG,Pays de la Loire,14.3,TOTAL,T,Y15-24,Sheet 1
2024,FRG,Pays de la Loire,14.7,TOTAL,T,Y15-24,Sheet 1
2007,FRG0,Pays de la Loire,12.3,TOTAL,T,Y15-24,Sheet 1
2008,FRG0,Pays de la Loire,16.0,TOTAL,T,Y15-24,Sheet 1
2009,FRG0,Pays de la Loire,19.4,TOTAL,T,Y15-24,Sheet 1
