year,drgn1,region_code,region_name,dgn,sex,education,educ_code,educ3,gsur,age_group_used,region_key
2007,7,FRG,Pays de la Loire,1,M,ED3_4,educM,1,0.04,Y20-64,7
2007,7,FRG,Pays de la Loire,1,M,ED5-8,educH,2,,Y20-64,7
2007,7,FRG,Pays de la Loire,1,M,TOTAL,educALL,-1,0.049,Y20-64,7
2007,8,FRH,Bretagne,0,F,ED0-2,educL,0,0.071,Y20-64,8
2007,8,FRH,Bretagne,0,F,ED3_4,educM,1,0.08,Y20-64,8
2007,8,FRH,Bretagne,0,F,ED5-8,educH,2,0.062,Y20-64,8
2007,8,FRH,Bretagne,0,F,TOTAL,educALL,-1,0.07200000000000001,Y20-64,8
2007,8,FRH,Bretagne,1,M,ED0-2,educL,0,0.079,Y20-64,8
2007,8,FRH,Bretagne,1,M,ED3_4,educM,1,0.042,Y20-64,8
2007,8,FRH,Bretagne,1,M,ED5-8,educH,2,0.073,Y20-64,8
2007,8,FRH,Bretagne,1,M,TOTAL,educALL,-1,0.057999999999999996,Y20-64,8
2007,9,FRI,Nouvelle-Aquitaine,0,F,ED0-2,educL,0,0.109,Y20-64,9
2007,9,FRI,Nouvelle-Aquitaine,0,F,ED3_4,educM,1,0.057999999999999996,Y20-64,9
2007,9,FRI,Nouvelle-Aquitaine,0,F,ED5-8,educH,2,0.042,Y20-64,9
2007,9,FRI,Nouvelle-Aquitaine,0,F,TOTAL,educALL,-1,0.067,Y20-64,9
2007,9,FRI,Nouvelle-Aquitaine,1,M,ED0-2,educL,0,0.083,Y20-64,9
2007,9,FRI,Nouvelle-Aquitaine,1,M,ED3_4,educM,1,0.048,Y20-64,9
2007,9,FRI,Nouvelle-Aquitaine,1,M,ED5-8,educH,2,0.053,Y20-64,9
2007,9,FRI,Nouvelle-Aquitaine,1,M,TOTAL,educALL,-1,0.057999999999999996,Y20-64,9
2007,10,FRJ,Occitanie,0,F,ED0-2,educL,0,0.12,Y20-64,10
2007,10,FRJ,Occitanie,0,F,ED3_4,educM,1,0.079,Y20-64,10
2007,10,FRJ,Occitanie,0,F,ED5-8,educH,2,0.078,Y20-64,10
2007,10,FRJ,Occitanie,0,F,TOTAL,educALL,-1,0.08800000000000001,Y20-64,10
2007,10,FRJ,Occitanie,1,M,ED0-2,educL,0,0.139,Y20-64,10
2007,10,FRJ,Occitanie,1,M,ED3_4,educM,1,0.07200000000000001,Y20-64,10
