hh,year,status,tudef,joint_dispy_abs_diff,clean_joint_dispy,stored_joint_dispy,ils_ben_max_abs,ils_tax_max_abs,ils_origy_max_abs,ils_sicdy_max_abs,localised_to
100000000600,2015,FAIL,0,235.6950930956491,3906.986350208511,4142.68144330416,0.0,235.69509309564887,0.0,0.0,ils_tax
100000001600,2015,FAIL,0,254.35000000000036,5979.575508075455,6233.925508075456,130.0,124.35000000000002,0.0,0.0,ils_ben
100000002100,2015,FAIL,0,363.79127181816057,4657.791383670939,5021.582655489099,333.08,32.37667181816124,0.0,0.0,ils_ben
100000002300,2015,FAIL,0,607.3114023787775,6497.9558499174045,7105.267252296182,333.0799999999999,106.70680237877707,0.0,0.0,ils_ben
100000002700,2015,PASS,0,0.0,5098.662360370716,5098.662360370716,0.0,0.0,0.0,0.0,
100000004200,2015,PASS,0,0.0,4745.231683988066,4745.231683988066,0.0,0.0,0.0,0.0,
100000004300,2015,FAIL,0,768.8597166666668,4407.793218955533,5176.6529356222,564.6400000000001,2.823200000000014,0.0,0.0,ils_ben
100000004700,2015,FAIL,0,254.35000000000036,5645.201198247145,5899.551198247145,130.0,124.99999999999994,0.0,0.0,ils_ben
100000004900,2015,FAIL,0,258.8456044433333,3163.1316129498664,2904.286008506533,194.99,0.9749499999999998,0.0,0.0,ils_ben
100000005200,2015,FAIL,0,845.8592754935025,5278.149633621517,6124.008909115019,463.05999999999995,215.9245754935033,0.0,0.0,ils_ben
100000005500,2015,FAIL,0,58.404376369236616,3594.657355366579,3653.0617317358156,130.0,70.94562363076349,0.0,0.0,ils_ben
100000006400,2015,FAIL,0,413.38148179145855,4429.192838249384,4015.8113564579257,194.99,218.39148179145866,0.0,0.0,ils_tax
100000007000,2015,FAIL,0,499.75864999999976,4801.299179830167,5301.057829830167,333.08,1.6654000000000337,0.0,0.0,ils_ben
100000007400,2015,PASS,0,0.0,10394.526351233584,10394.526351233584,0.0,0.0,0.0,0.0,
100000007700,2015,PASS,0,0.0,3908.1038878174227,3908.1038878174227,0.0,0.0,0.0,0.0,
100000008100,2015,FAIL,0,390.8849208333331,3591.806940375255,3982.6918612085883,392.84916666666663,1.9642458333333366,0.0,0.0,ils_ben
100000008300,2015,PASS,0,0.0,3210.097971022867,3210.097971022867,0.0,0.0,0.0,0.0,
100000009400,2015,FAIL,0,661.6028419731792,3394.3842736096603,4055.9871155828396,694.6199999999999,3.4731000000000023,0.0,0.0,ils_ben
100000009600,2015,FAIL,0,374.5900960292038,3091.378876650667,3465.9689726798706,333.08,1.6654000000000053,0.0,0.0,ils_ben
100000010200,2015,FAIL,0,328.8077000000003,4515.858355941213,4844.666055941213,330.4600000000001,1.6523000000000252,0.0,0.0,ils_ben
100000010800,2015,FAIL,0,145.42154043795927,4197.2520126476375,4342.673553085597,0.0,335.010422660752,0.0,0.0,ils_tax
