stacked_hh_uid,data_year,exposed_prob_mass,chosen_alt_exposed
100000000600,2015,0.002822353174761436,1
100000001600,2015,0.00023283326139112549,1
100000002100,2015,0.0016678497137573773,1
100000002300,2015,6.116714017632554e-05,1
100000002700,2015,0.000294921904470994,1
100000004200,2015,3.0411691655632088e-06,1
100000004300,2015,0.00048648894115676085,1
100000004700,2015,0.00013524806077084975,1
100000004900,2015,0.0013708797954877553,1
100000005200,2015,0.0009238772112418347,1
100000005500,2015,0.0014755545924828616,1
100000006400,2015,0.0003633358526411994,1
100000007000,2015,1.273550344361068e-05,1
100000007400,2015,5.6690582115005193e-05,1
100000007700,2015,0.00017014988409588325,1
100000008100,2015,0.0016581694246542904,1
100000008300,2015,0.00043639171143577873,1
100000009400,2015,0.0004345303221477855,1
100000009600,2015,0.00012903536557853736,1
100000010200,2015,0.0012156754491971218,1
100000010800,2015,2.7894271879144548e-05,1
100000010900,2015,0.0009005350337163414,1
100000011200,2015,8.480683247012388e-05,1
100000011500,2015,0.00023115478890034036,1
100000012300,2015,3.620532393336215e-05,1
100000012600,2015,0.00031940112140645783,1
100000012800,2015,4.642961447561138e-05,1
100000012900,2015,0.00018271895214047804,1
100000013800,2015,5.195302391824285e-06,1
100000014000,2015,0.00034358580516325794,1
100000014500,2015,3.2444615751313954e-05,1
100000015100,2015,0.0017870501311909597,1
100000015200,2015,0.00018056226577388667,1
100000015600,2015,0.0016210456020007019,1
100000015800,2015,6.69283572350412e-05,1
100000016600,2015,9.5724309680651e-05,1
100000017100,2015,0.0006028605630049466,1
100000017200,2015,0.00046484988138581376,1
100000017600,2015,0.0002784037671326863,1
100000018700,2015,3.795117598802381e-05,1
100000019600,2015,0.0009325859705490141,1
100000019700,2015,5.716014615728234e-06,1
100000020700,2015,0.0001827596618606933,1
100000021400,2015,0.004047662017014595,1
100000021800,2015,0.00016514266096105798,1
100000022300,2015,0.002523911428024083,1
100000022600,2015,0.0012569866205326245,1
100000022900,2015,2.5425448072233466e-05,1
100000023200,2015,2.848275571432766e-05,1
100000023500,2015,1.0781792858051662e-05,1
100000023800,2015,0.0012401305546628195,1
100000023900,2015,0.007185661395296572,1
100000024300,2015,0.0003053593498570779,1
100000024600,2015,0.0005889039867032544,1
100000024700,2015,0.00012614712535004988,1
100000025200,2015,3.908532635294883e-05,1
100000026200,2015,8.255042802149638e-05,1
100000027100,2015,0.00011930178664166719,1
100000027300,2015,0.0008820511547780589,1
100000027500,2015,0.00011425954258911519,1
100000028000,2015,0.000745831823976333,1
100000028300,2015,0.0010701757615628163,1
100000028400,2015,0.0001898258810151173,1
100000029000,2015,2.8800016532637054e-05,1
100000029100,2015,0.002545353894462523,1
100000029600,2015,0.0007760649997333515,1
100000029800,2015,1.17066883742948e-05,1
100000029900,2015,8.188344100466699e-05,1
100000031400,2015,3.12106177368296e-05,1
100000031700,2015,2.5553927556475876e-05,1
100000032000,2015,5.5006018672081935e-05,1
100000033100,2015,3.389257229226979e-05,1
100000033400,2015,0.0012244303852621684,1
100000034000,2015,0.0005162519738772959,1
100000034900,2015,0.0002511647742766808,1
100000035000,2015,1.5002457648488599e-05,1
100000036600,2015,2.2522079428696665e-05,1
100000036900,2015,0.0005659460909946748,1
100000038500,2015,0.0004231091034826783,1
100000039800,2015,0.00034317918651537166,1
100000042100,2015,9.914396998114683e-05,1
100000042300,2015,0.00077843763719438,1
100000042500,2015,0.00038726438753487323,1
100000043000,2015,0.00020249548864846663,1
100000045600,2015,0.00014313578305467575,1
100000046600,2015,0.00039444170546712345,1
100000046700,2015,6.408422891034866e-05,1
100000046800,2015,0.009441073102861897,1
100000047100,2015,0.0013880128436660972,1
100000049200,2015,4.4922201736381955e-06,1
100000049500,2015,3.6127436347741205e-05,1
100000051100,2015,0.0008394283727871303,1
100000051800,2015,0.00024372262918232149,1
100000052500,2015,0.0037808922174955655,1
