stacked_hh_uid,draw,idperson,dgn,lhw,stored_ils_dispy,reprice_ils_dispy,absdiff_ils_dispy,absdiff_ils_origy,absdiff_ils_ben,absdiff_ils_tax,absdiff_ils_sicdy,stored_ils_ben,FAIL
200001498400,0,149840001.0,0.0,60.0,3206.1313935069943,3206.1313935069943,0.0,0.0,0.0,0.0,0.0,0.0,False
200001498400,1,149840001.0,0.0,34.336057500722355,2216.5377803114307,2216.5377803114307,0.0,0.0,0.0,0.0,0.0,0.0,False
200001498400,2,149840001.0,0.0,35.90479749063283,1927.0425062373763,1927.0425062373763,0.0,0.0,0.0,0.0,0.0,0.0,False
200001498400,3,149840001.0,0.0,33.55203951640912,2744.454460806819,2744.454460806819,0.0,0.0,0.0,0.0,0.0,0.0,False
200001498400,4,149840001.0,0.0,37.90778330760019,2041.1321254222967,2041.1321254222967,0.0,0.0,0.0,0.0,0.0,0.0,False
200001498400,5,149840001.0,0.0,38.8540901154565,2579.2373835591034,2579.2373835591034,0.0,0.0,0.0,0.0,0.0,0.0,False
200001498400,6,149840001.0,0.0,20.292105702041034,1417.5236446993563,1417.5236446993563,0.0,0.0,0.0,0.0,0.0,62.79555499362519,False
200001498400,7,149840001.0,0.0,29.268007569335676,3504.308224479496,3504.308224479496,0.0,0.0,0.0,0.0,0.0,0.0,False
200001498400,8,149840001.0,0.0,40.36954040655101,2255.487001890101,2255.487001890101,0.0,0.0,0.0,0.0,0.0,0.0,False
200001498400,9,149840001.0,0.0,56.96531354206091,3644.183528808253,3644.183528808253,0.0,0.0,0.0,0.0,0.0,0.0,False
200001498400,10,149840001.0,0.0,29.592607639605127,1091.890557813562,1091.890557813562,0.0,0.0,0.0,0.0,0.0,33.46473159540076,False
200001498400,11,149840001.0,0.0,29.390771682070067,2409.872332313829,2409.872332313829,0.0,0.0,0.0,0.0,0.0,0.0,False
200001498400,12,149840001.0,0.0,9.03622177659581,1184.1168842924233,1184.1168842924233,0.0,0.0,0.0,0.0,0.0,41.771854561585045,False
200001498400,13,149840001.0,0.0,63.517065952540435,3400.659433213552,3400.659433213552,0.0,0.0,0.0,0.0,0.0,0.0,False
200001498400,14,149840001.0,0.0,36.00554580172372,1824.2047356818348,1824.2047356818348,0.0,0.0,0.0,0.0,0.0,0.0,False
200001498400,15,149840001.0,0.0,35.36757407657644,3030.0044573198593,3030.0044573198593,0.0,0.0,0.0,0.0,0.0,0.0,False
200001498400,16,149840001.0,0.0,20.804294926796167,1605.9820456227824,1605.9820456227824,0.0,0.0,0.0,0.0,0.0,79.77061157728077,False
200001498400,17,149840001.0,0.0,40.46849516867177,3069.498242466775,3069.498242466775,0.0,0.0,0.0,0.0,0.0,0.0,False
200001498400,18,149840001.0,0.0,66.16093412817763,2432.313452161097,2432.313452161097,0.0,0.0,0.0,0.0,0.0,0.0,False
200001498400,19,149840001.0,0.0,20.756979267670967,2009.6057575258294,2009.6057575258294,0.0,0.0,0.0,0.0,0.0,0.0,False
200001502500,0,150250001.0,0.0,50.0,1486.48408264671,1486.48408264671,0.0,0.0,0.0,0.0,0.0,1111.6630653836933,False
200001502500,0,150250004.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
200001502500,0,150250005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
200001502500,1,150250001.0,0.0,39.52666067543937,2758.772721188446,2758.772721188446,0.0,0.0,0.0,0.0,0.0,262.31333333333333,False
200001502500,1,150250004.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
